Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
277,Craig Porter Jr.,25.0,CLE,PG,16.0,0.0,17.8,2.4,4.5,0.542,0.8,1.8,0.448,1.6,2.7,0.605,0.632,0.4,0.8,0.5,1.3,1.8,3.1,2.6,1.0,0.6,0.9,1.1,6.1,
278,Quinten Post,25.0,GSW,PF,17.0,7.0,14.9,2.3,5.0,0.459,1.2,3.5,0.356,1.1,1.5,0.692,0.582,0.3,0.4,0.714,0.9,3.1,3.9,0.9,0.4,0.5,0.8,1.1,6.1,
279,Taurean Prince,31.0,MIL,SF,8.0,0.0,21.1,2.1,4.8,0.447,1.5,3.5,0.429,0.6,1.3,0.5,0.605,0.4,0.4,1.0,0.0,1.6,1.6,1.0,0.8,0.3,0.6,2.5,6.1,
280,Dru Smith,28.0,MIA,SG,15.0,0.0,17.1,2.2,4.8,0.458,0.8,2.2,0.364,1.4,2.6,0.538,0.542,0.9,1.2,0.778,0.9,1.2,2.1,3.3,1.5,0.1,0.9,1.7,6.1,
281,Doug McDermott,34.0,SAC,SF,1.0,0.0,8.0,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,
282,Yves Missi,21.0,NOP,C,10.0,5.0,18.7,2.4,4.1,0.585,0.0,0.0,,2.4,4.1,0.585,0.585,1.2,2.2,0.545,3.1,2.0,5.1,1.4,0.3,0.9,1.1,1.8,6.0,
283,Blake Wesley,22.0,POR,SG,6.0,0.0,16.3,2.3,5.7,0.412,0.3,1.7,0.2,2.0,4.0,0.5,0.441,1.0,1.7,0.6,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,6.0,
284,Goga Bitadze,26.0,ORL,C,15.0,0.0,16.6,2.2,3.1,0.717,0.1,0.4,0.333,2.1,2.7,0.775,0.739,1.4,1.9,0.724,1.6,3.3,4.9,1.3,0.5,1.3,0.5,2.1,5.9,
285,RayJ Dennis,24.0,IND,PG,11.0,0.0,14.6,2.0,6.4,0.314,1.1,3.4,0.324,0.9,3.0,0.303,0.4,0.7,0.8,0.889,0.7,1.0,1.7,2.3,0.3,0.4,1.3,1.5,5.8,
286,Drake Powell,20.0,BRK,SG,8.0,0.0,18.6,2.4,4.9,0.487,0.6,1.6,0.385,1.8,3.3,0.538,0.551,0.4,0.4,1.0,0.4,1.8,2.1,1.9,0.9,0.1,1.4,2.1,5.8,
287,Jamal Shead,23.0,TOR,PG,15.0,0.0,18.2,1.9,4.7,0.414,1.1,2.6,0.41,0.9,2.1,0.419,0.529,0.9,1.1,0.813,0.3,1.4,1.7,5.1,0.8,0.1,1.3,2.0,5.8,
288,Al Horford,39.0,GSW,C,11.0,0.0,22.1,2.0,5.9,0.338,1.4,4.3,0.319,0.6,1.6,0.389,0.454,0.4,0.4,1.0,0.9,3.2,4.1,1.7,0.9,1.0,1.4,1.6,5.7,
289,Jalen Wilson,25.0,BRK,PF,12.0,0.0,15.4,1.8,4.7,0.375,1.3,3.3,0.41,0.4,1.4,0.294,0.518,0.8,1.1,0.769,0.2,0.8,1.0,0.6,0.2,0.0,0.7,1.3,5.7,
290,Caleb Love,24.0,POR,SG,7.0,0.0,13.6,2.1,7.3,0.294,0.9,4.3,0.2,1.3,3.0,0.429,0.353,0.4,0.6,0.75,0.4,2.4,2.9,1.9,0.4,0.0,0.6,0.6,5.6,
291,Alex Caruso,31.0,OKC,SG,11.0,0.0,18.5,1.9,5.4,0.356,1.2,3.6,0.325,0.7,1.7,0.421,0.466,0.5,0.5,0.833,0.3,2.0,2.3,2.6,1.8,0.4,0.8,0.7,5.5,
292,Pat Spencer,29.0,GSW,PG,10.0,0.0,13.2,1.9,5.3,0.358,0.6,1.7,0.353,1.3,3.6,0.361,0.415,1.1,1.2,0.917,0.9,1.2,2.1,2.9,0.8,0.1,0.7,1.2,5.5,
293,Tony Bradley,28.0,IND,C,15.0,3.0,13.9,2.3,3.8,0.596,0.0,0.1,0.0,2.3,3.7,0.607,0.596,0.9,1.3,0.684,1.9,1.3,3.2,0.7,0.1,0.2,0.5,2.5,5.4,
294,Kris Murray,25.0,POR,SF,14.0,1.0,23.8,2.3,5.1,0.451,0.5,1.8,0.28,1.8,3.3,0.543,0.5,0.4,0.6,0.625,1.5,1.9,3.4,1.1,1.0,0.2,0.6,1.6,5.4,
295,Dean Wade,29.0,CLE,PF,15.0,2.0,22.5,1.8,4.9,0.37,1.1,3.6,0.315,0.7,1.3,0.526,0.486,0.7,1.1,0.625,0.9,3.1,3.9,1.5,0.7,0.7,0.3,1.7,5.4,
296,Jaxson Hayes,25.0,LAL,C,12.0,1.0,16.7,2.3,3.2,0.711,0.1,0.1,1.0,2.2,3.1,0.703,0.724,0.8,1.2,0.643,1.3,2.8,4.1,1.1,0.4,0.4,0.5,1.5,5.3,
297,Jaylen Clark,24.0,MIN,SG,13.0,0.0,17.2,1.8,4.1,0.453,0.7,1.9,0.36,1.2,2.2,0.536,0.538,0.8,1.4,0.556,1.4,1.2,2.6,0.7,1.0,0.2,0.4,2.2,5.2,
298,Asa Newell,20.0,ATL,PF,9.0,0.0,9.1,1.8,3.6,0.5,0.9,1.8,0.5,0.9,1.8,0.5,0.625,0.8,1.0,0.778,1.0,0.9,1.9,0.1,0.4,0.3,0.4,1.2,5.2,
299,Jeremiah Robinson-Earl,25.0,IND,PF,10.0,3.0,20.3,2.0,5.5,0.364,0.4,1.8,0.222,1.6,3.7,0.432,0.4,0.8,0.9,0.889,2.6,3.6,6.2,0.8,0.6,0.0,0.6,1.1,5.2,
300,Cam Christie,20.0,LAC,SG,9.0,0.0,11.6,1.6,3.6,0.438,0.8,1.9,0.412,0.8,1.7,0.467,0.547,1.2,1.7,0.733,0.3,1.3,1.7,0.9,0.2,0.2,0.2,0.3,5.1,
301,Matisse Thybulle,28.0,POR,SG,4.0,0.0,12.3,1.5,2.5,0.6,1.0,1.5,0.667,0.5,1.0,0.5,0.8,1.0,1.0,1.0,0.0,1.0,1.0,0.8,2.5,0.0,0.3,1.8,5.0,
302,Oso Ighodaro,23.0,PHO,PF,15.0,4.0,15.7,2.1,3.8,0.561,0.0,0.0,,2.1,3.8,0.561,0.561,0.6,1.1,0.563,0.6,2.7,3.3,1.2,0.4,0.7,1.2,2.5,4.9,
303,Karlo Matković,24.0,NOP,PF,12.0,0.0,11.4,2.2,3.1,0.703,0.3,0.8,0.444,1.8,2.3,0.786,0.757,0.3,0.7,0.375,0.7,2.1,2.8,0.8,0.2,0.5,0.4,1.2,4.9,
304,KJ Simpson,23.0,CHO,PG,7.0,0.0,13.3,1.9,5.6,0.333,0.7,2.1,0.333,1.1,3.4,0.333,0.397,0.4,0.6,0.75,0.4,1.6,2.0,2.6,0.6,0.0,1.4,1.1,4.9,
305,Keaton Wallace,26.0,ATL,PG,14.0,2.0,15.9,1.8,4.1,0.431,1.1,2.5,0.429,0.7,1.6,0.435,0.56,0.2,0.4,0.5,0.1,1.7,1.8,2.9,0.9,0.1,0.9,1.4,4.9,
306,Tyrese Proctor,21.0,CLE,PG,13.0,0.0,11.8,1.6,4.8,0.333,0.9,3.2,0.293,0.7,1.7,0.409,0.429,0.6,0.7,0.889,0.2,0.8,1.0,1.3,0.3,0.0,0.5,1.5,4.8,
307,Jaylin Williams,23.0,OKC,PF,15.0,1.0,18.4,1.6,5.0,0.32,1.1,4.4,0.258,0.5,0.6,0.778,0.433,0.5,0.6,0.778,0.5,4.0,4.5,2.2,0.6,0.5,0.9,1.7,4.8,
308,Rob Dillingham,21.0,MIN,PG,13.0,0.0,11.2,1.9,5.2,0.373,0.2,1.2,0.2,1.7,4.0,0.423,0.396,0.6,0.8,0.727,0.2,1.2,1.3,2.1,0.8,0.0,1.2,1.2,4.7,
309,Maxime Raynaud,22.0,SAC,C,7.0,0.0,13.1,1.7,4.0,0.429,0.1,0.6,0.25,1.6,3.4,0.458,0.446,1.1,1.3,0.889,1.0,2.7,3.7,0.6,0.3,0.3,0.9,1.1,4.7,
310,Pat Connaughton,33.0,CHO,SG,11.0,0.0,10.1,1.6,3.2,0.514,0.8,2.0,0.409,0.8,1.2,0.692,0.643,0.5,0.8,0.667,0.3,1.6,1.9,0.6,0.5,0.1,0.3,0.5,4.6,
