,,,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,#NAME?
Rk,Player,Type,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
23,Paolo Banchero,Projected,8.7,18.8,1.8,5.2,5.8,7.9,1.2,7.6,5.1,0.9,0.6,3,2.1,24.9,0.461,0.335,0.737,banchpa01
24,Desmond Bane,Projected,8.3,17.2,2.9,7.3,3.1,3.5,1,6.3,5.8,1.2,0.5,2.7,2.8,22.4,0.48,0.391,0.882,banede01
25,Dalano Banton,Projected,6.6,16.3,2.2,6.9,3,4,1.2,5.1,4.8,1.3,1,2.6,2.1,18.4,0.405,0.322,0.751,bantoda01
26,Dominick Barlow,Projected,5.6,10.8,0.8,2.5,2.3,3.2,3.3,8.5,2.7,1,1.3,0.9,4,14.3,0.52,0.317,0.696,barlodo01
27,Harrison Barnes,Projected,5.4,11.1,2.3,5.7,2.7,3.4,1.4,4.6,2,0.7,0.2,0.9,1.4,15.9,0.487,0.406,0.81,barneha02
28,Scottie Barnes,Projected,7.7,16.7,1.4,4.6,3.6,4.6,2.1,8.3,6.2,1.4,1.2,2.8,2,20.5,0.463,0.305,0.77,barnesc01
29,RJ Barrett,Projected,8.6,17.9,2,5.6,3.9,5.8,1.1,6.7,5,0.8,0.4,2.8,2.6,23,0.478,0.353,0.676,barrerj01
30,Charles Bassey,Projected,6.3,10.9,0.5,1.3,1.9,2.8,4.4,12.6,2.7,1.3,2.4,2.3,4.4,15,0.575,0.362,0.686,bassech01
31,Emoni Bates,Projected,5.9,14.4,3,8.3,1.5,2,1,5.3,3.8,0.8,0.7,1.8,2.2,16.3,0.41,0.362,0.729,batesem01
32,Jamison Battle,Projected,5.4,12.1,3.5,8.5,0.8,1,1.4,5.7,2.2,0.7,0.4,1.1,3.1,15.1,0.443,0.409,0.844,battlja01
33,Nicolas Batum,Projected,3,6.9,2.1,5.2,0.6,0.8,1.4,5.8,2.6,1.2,0.9,1,2.9,8.6,0.434,0.404,0.766,batumni01
34,Damion Baugh,Projected,4.8,12.8,1.5,5.5,1.7,2,1.5,5.5,5,1.4,0.4,2.7,2.3,12.7,0.375,0.265,0.826,baughda01
35,Bradley Beal,Projected,7.5,15.1,2.1,5.3,2.5,3,0.9,4.2,4.6,1.1,0.6,2.4,2.8,19.5,0.497,0.391,0.808,bealbr01
36,Malik Beasley,Projected,6.4,15,4.3,10.6,1.2,1.7,0.7,4,2.1,1.1,0.1,1.2,2.1,18.4,0.43,0.408,0.695,beaslma01
37,MarJon Beauchamp,Projected,5.5,12.1,2,5.5,2,2.7,1.7,7,2.5,0.9,0.4,2.2,3.2,15.1,0.456,0.369,0.744,beaucma01
38,Reece Beekman,Projected,3.7,9.5,0.9,3.7,1.6,2.1,1.2,4,4.7,2.2,0.3,1.7,2.7,9.9,0.386,0.254,0.774,beekmre01
39,Goga Bitadze,Projected,5.2,8.8,0.2,1.1,2.2,3.3,4,11.1,3.4,1.2,2.4,1.8,3.8,12.9,0.594,0.223,0.654,bitadgo01
40,Bismack Biyombo,Projected,4.4,8,0.3,0.7,1.1,2.3,2.8,9.7,2.5,0.9,1.7,1.9,3.8,10.2,0.55,0.36,0.489,biyombi01
41,Anthony Black,Projected,4.9,11,1.3,3.6,2.6,3.5,1.1,4.6,4.3,1.5,0.9,2.4,3.1,13.6,0.444,0.347,0.748,blackan01
42,Bogdan Bogdanović,Projected,6.2,14.6,3.1,8.4,1.9,2.1,0.7,4.2,3.8,1.2,0.4,1.8,3,17.5,0.426,0.367,0.886,bogdabo01
43,Bol Bol,Projected,7.1,13.1,1.9,5.3,1.8,2.3,1.8,8.9,2,0.8,1.8,1.9,2.3,17.8,0.542,0.354,0.775,bolbo01
44,Adem Bona,Projected,5.6,8.6,0.3,0.9,2.7,3.9,3.4,9.5,1.6,1.1,2.5,2.3,4.5,14.3,0.657,0.356,0.695,bonaad01
45,Devin Booker,Projected,8.7,18.5,2.3,6.7,5.6,6.3,1,4.2,6.7,0.9,0.3,2.8,2.7,25.3,0.471,0.341,0.886,bookede01
46,Brandon Boston Jr.,Projected,6.3,14.2,1.8,5.1,2.5,3.2,1.2,5.2,3.2,1.7,0.4,2,2.8,16.9,0.442,0.349,0.779,bostobr01
47,Chris Boucher,Projected,6.7,13.8,2.3,6.6,3,3.9,2.9,9.3,1.5,1,1.1,1.3,3.1,18.8,0.488,0.349,0.772,bouchch01
48,Jamaree Bouyea,Projected,5.2,11.2,1.4,4.4,2,2.7,1.3,5.8,4.3,1.3,0.7,2.8,2.6,13.7,0.46,0.31,0.748,bouyeja01
49,Tony Bradley,Projected,7.4,13.7,1.4,3.7,1.8,2.7,3.3,9.4,3.1,1,1.6,1.9,3.1,18,0.541,0.364,0.662,bradlto01
50,Malaki Branham,Projected,6.6,14.5,2.3,6.2,1.7,2,0.7,4.1,3.5,0.8,0.2,2.2,2.3,17.2,0.456,0.37,0.838,branhma01
51,Christian Braun,Projected,6.1,10.9,1.3,3.2,2.3,2.9,1.4,5.9,2.8,1.1,0.6,1.1,2.5,15.7,0.554,0.397,0.794,braunch01
52,Jalen Bridges,Projected,5.7,12.5,2.1,6,2.7,3.5,1.4,6.4,3.4,1.1,0.6,2.5,2.3,16.3,0.457,0.351,0.779,bridgja01
53,Mikal Bridges,Projected,7,14.8,2.2,6,2,2.5,0.9,3.8,3.6,1,0.5,1.7,1.6,18.3,0.475,0.362,0.826,bridgmi01
54,Miles Bridges,Projected,8.1,18.1,2.4,7.2,3.3,3.9,1.2,7.9,4,0.8,0.7,2.2,1.7,21.8,0.445,0.329,0.855,bridgmi02
55,Oshae Brissett,Projected,4.6,10.3,1.4,4.3,2.8,4.3,2.5,7.6,2.3,1.1,0.6,1.5,3,13.4,0.448,0.319,0.658,brissos01
56,Malcolm Brogdon,Projected,6.8,15.3,2,5.2,3.8,4.4,1.1,5.5,6,0.9,0.3,2.2,2.1,19.3,0.443,0.378,0.85,brogdma01
57,Dillon Brooks,Projected,5.7,13.4,2.5,6.7,1.7,2.1,1,4.2,2.1,1,0.2,1.3,3.7,15.7,0.425,0.377,0.819,brookdi01
58,Keion Brooks Jr.,Projected,6,12.3,1.7,5,2.5,3.3,1.4,6.5,2.3,1.1,1,1.6,3.1,16.1,0.485,0.344,0.753,brookke02
59,Bruce Brown,Projected,5.3,11.8,1.2,3.5,2.1,2.6,1.3,5.8,3.6,1.2,0.5,1.7,2.8,14,0.455,0.337,0.807,brownbr01
60,Jaylen Brown,Projected,9,18.8,2.1,6.2,3.8,5,1.3,6.2,4.3,1.2,0.4,2.7,2.7,23.8,0.477,0.335,0.747,brownja02
61,Kobe Brown,Projected,4.6,10.1,1.3,4.2,1,1.3,2.1,7.2,3.1,1.1,0.6,1.5,3.4,11.4,0.454,0.297,0.752,brownko01
62,Moses Brown,Projected,7.5,13.2,0.8,2.1,2.5,4.5,4,11.7,2,1.2,1.1,2.4,4.1,18.2,0.568,0.366,0.56,brownmo01
63,Jalen Brunson,Projected,9.4,19.5,2.5,6.3,5.5,6.6,0.5,3.4,7,0.9,0.2,2.5,2.1,26.7,0.483,0.39,0.829,brunsja01
64,Thomas Bryant,Projected,6.4,12.2,1.5,4.6,2.4,2.9,2.9,9.6,2.1,1,1.4,1.3,3,16.8,0.527,0.327,0.832,bryanth01
65,Kobe Bufkin,Projected,6.1,14.3,1.7,5.9,2.5,3.5,1.5,6.4,4.6,1.1,0.8,2,2.9,16.3,0.426,0.285,0.732,bufkiko01
66,Alec Burks,Projected,5.5,13.7,3.4,8.7,2.9,3.5,0.7,5,2.7,1,0.3,1.4,2.1,17.3,0.401,0.396,0.822,burksal01
67,Jared Butler,Projected,6.9,14.8,2,5.6,2.5,3,0.9,4.1,7.3,1.5,0.5,2.7,3.3,18.2,0.463,0.355,0.829,butleja02
68,Jimmy Butler,Projected,6.5,13.2,0.8,2.4,6.6,7.9,2.2,5.9,5.6,1.5,0.4,1.7,1.2,20.6,0.497,0.346,0.843,butleji01
69,Matas Buzelis,Projected,6.2,13.2,2.3,6.2,2.2,2.7,1.4,6.8,2.1,0.8,1.7,1.7,2.9,16.9,0.469,0.374,0.819,buzelma01
70,Jamal Cain,Projected,5.2,11.6,1.8,5.3,2.5,3.5,1.9,6.2,2,1.5,0.7,1.6,3.1,14.7,0.449,0.341,0.722,cainja01
71,Kentavious Caldwell-Pope,Projected,4,8.9,1.8,5,1.4,1.7,0.5,2.9,2.4,1.5,0.6,1.1,2.2,11.2,0.446,0.364,0.859,caldwke01
72,Toumani Camara,Projected,4.6,10,1.8,4.7,1.4,1.9,2.5,6.6,2.4,1.6,0.7,1.6,3.3,12.4,0.463,0.373,0.742,camarto01
73,Vlatko Čančar,Projected,4.5,10,1.6,4.7,1.5,1.8,1.4,6.7,3.2,1,0.6,2.2,3,12.2,0.455,0.341,0.825,cancavl01
74,Clint Capela,Projected,6.7,11.9,0.1,0.4,2,3.3,5.5,14,1.9,1,1.7,1.4,3.2,15.5,0.564,0.337,0.597,capelca01
75,Branden Carlson,Projected,6.3,13.8,2.8,8,2.3,2.9,2.2,7.4,2.8,0.9,2.1,1.5,3,17.6,0.457,0.345,0.782,carlsbr01
76,Bub Carrington,Projected,4.7,11,2.1,5.9,1.1,1.4,0.6,5.3,5.4,0.8,0.3,2,2.7,12.5,0.422,0.355,0.817,carrica01
77,Devin Carter,Projected,4.9,12,1.8,5.5,2.5,3.8,1.7,6.9,3.9,1.7,0.5,1.7,3.3,14.1,0.412,0.323,0.648,cartede02
78,Jevon Carter,Projected,5.4,13.5,2.9,8.4,0.8,1,0.6,3.7,3.8,1.3,0.5,1.4,2.5,14.4,0.396,0.349,0.768,carteje01
79,Wendell Carter Jr.,Projected,5.2,10.7,1.1,3.8,2.6,3.6,2.9,9.9,2.8,1,0.8,1.7,3.7,14.3,0.488,0.302,0.733,cartewe01
80,D.J. Carton,Projected,5.3,12,1.6,5,2.5,3.1,1.4,6.1,3.8,1.3,0.6,2.3,2.5,14.6,0.439,0.324,0.8,cartodj01
81,Alex Caruso,Projected,4.6,10,2.1,5.6,1.4,1.8,1.2,5.2,4.5,2.4,1.1,1.6,3.4,12.7,0.454,0.376,0.792,carusal01
82,Stephon Castle,Projected,7.2,16.2,1.7,5.5,4.1,5.6,1.5,5.2,5.6,1.3,0.4,2.8,2.7,20.2,0.444,0.303,0.737,castlst01
83,Colin Castleton,Projected,4.6,9.6,0.7,2.4,2.5,3.2,3.7,9.2,2.8,0.8,0.8,1.9,3.9,12.4,0.479,0.275,0.785,castlco01
84,Julian Champagnie,Projected,5,11.8,3.1,8.2,1.7,2,1.2,5.8,2.3,1.2,0.8,1.4,2.1,14.9,0.426,0.377,0.87,champju02
85,Justin Champagnie,Projected,5.7,11.4,2,5.3,1.5,2.1,2.9,9.2,2,1.7,1.1,1.5,2.8,15,0.505,0.379,0.715,champju01
86,Ulrich Chomche,Projected,5.8,12,1.7,4.7,2.4,3.1,2.2,7.2,3.8,1.1,0.8,2.1,3.1,15.6,0.478,0.375,0.758,chomcul01
87,Cam Christie,Projected,5.9,13.6,1.9,6.1,2.3,3.1,1.8,7,4,1.8,0.7,1.8,2.6,15.9,0.434,0.305,0.734,chrisca02
88,Max Christie,Projected,4.4,9.9,1.9,5.1,2.1,2.5,0.7,4.8,2.6,1,0.6,1.4,2,12.8,0.442,0.377,0.847,chrisma02
89,Josh Christopher,Projected,6.5,14.4,1.4,4.9,2.4,3.1,1.1,5.1,3.8,1.6,0.9,2.5,2.4,16.8,0.453,0.291,0.755,chrisjo01
90,Sidy Cissoko,Projected,5.3,11.1,1.3,4.5,2.2,3.3,2.1,6.6,4,1.2,0.6,2.2,3.2,14,0.476,0.298,0.67,cissosi01
91,Jaylen Clark,Projected,4.5,9.5,1.7,4,2.2,2.7,1.8,4.4,2.4,2.2,0.3,0.9,3.8,12.8,0.475,0.416,0.788,clarkja02
92,Brandon Clarke,Projected,7.1,11.7,0.2,1,2,2.8,3.5,9.4,2.2,1.5,1.1,1.4,4.1,16.4,0.603,0.233,0.698,clarkbr01
93,Jordan Clarkson,Projected,7.4,17.8,2.5,7.7,3.8,4.7,1.1,4.4,5.3,0.9,0.3,3.2,2,21.1,0.414,0.332,0.824,clarkjo01
94,Nic Claxton,Projected,6.3,10.5,0.2,0.5,1.7,3.2,3,10.6,2.8,1.1,2.2,1.6,2.9,14.4,0.594,0.3,0.546,claxtni01
95,Donovan Clingan,Projected,5.2,9.6,0.6,1.8,1.8,2.9,5.6,13.8,2.4,1,2.8,1.9,4.7,12.8,0.542,0.323,0.633,clingdo01
96,Noah Clowney,Projected,5,12.3,2.7,7.8,2.4,2.9,1.7,6.7,1.8,0.9,0.9,1.6,3.3,15,0.403,0.35,0.819,clownno01
97,Amir Coffey,Projected,4.7,10.1,1.9,4.9,2.2,2.5,0.7,3.6,1.9,0.9,0.2,1,2.5,13.6,0.468,0.396,0.871,coffeam01
98,Isaiah Collier,Projected,4.8,11,0.9,3.5,2.2,3.1,0.7,4.9,8.6,1.3,0.4,3.8,2.8,12.8,0.44,0.274,0.703,colliis01
99,John Collins,Projected,7.6,14.5,1.6,4.4,3.3,4,2.5,9.7,2,1,1.2,2.3,3.5,20.1,0.524,0.373,0.824,collijo01
100,Yuri Collins,Projected,6,12.7,1.9,5.1,2.3,3,1.9,6.7,4.5,1.5,0.7,1.9,3.5,16.1,0.469,0.367,0.785,colliyu01
101,Zach Collins,Projected,6.3,12.8,1.3,4.1,2.7,3.3,3.2,9.6,4.3,1,1.1,2.6,4.7,16.7,0.496,0.322,0.808,colliza01
102,Mike Conley,Projected,4.3,10.2,2.6,6.4,1.8,2,0.7,3.7,6.7,1.5,0.3,1.7,2.3,12.9,0.417,0.406,0.879,conlemi01
103,Pat Connaughton,Projected,4.1,9.4,1.8,5.4,1.2,1.6,1.2,5.9,3.5,0.8,0.5,1.3,2.3,11.3,0.441,0.334,0.757,connapa01
104,Bilal Coulibaly,Projected,4.8,10.9,1.3,4.1,2.4,3.3,1.6,5.6,3.4,1.4,0.9,2.1,2.6,13.3,0.442,0.316,0.748,coulibi01
105,Ricky Council IV,Projected,5.5,13.3,1.6,5.8,3.8,4.7,1.5,6.3,2.9,1,0.4,1.5,2,16.3,0.409,0.283,0.797,councri01
106,Torrey Craig,Projected,4.2,9.8,2.1,5.7,1,1.4,2.5,7.5,2.2,1,1,1.3,3.6,11.6,0.435,0.374,0.729,craigto01
107,Isaiah Crawford,Projected,5.8,12.3,1.8,5.2,2.4,3.2,1.5,6.6,3.3,1.1,0.9,1.8,2.5,15.8,0.473,0.342,0.727,crawfis01
108,Jae Crowder,Projected,3.9,9.3,1.8,5.3,1.2,1.6,1.2,5.6,2.4,1.1,0.4,1.1,2.6,10.9,0.423,0.343,0.761,crowdja01
109,Cui Yongxi,Projected,6.2,13.9,2,5.9,2.6,3.5,1.6,6.8,3.8,1.2,0.7,2,2.6,17,0.446,0.334,0.756,cuiyo01
110,Cade Cunningham,Projected,9.7,20.7,2.2,6,4.4,5.2,0.8,5.9,8.8,1,0.7,4.1,2.8,26,0.471,0.362,0.853,cunnica01
111,Seth Curry,Projected,5.5,12.1,2.6,6.2,1.4,1.6,0.9,4,2.4,1,0.3,1.3,2.3,14.9,0.453,0.416,0.851,curryse01
112,Stephen Curry,Projected,9,20.4,4.9,12.4,4.3,4.7,0.6,5,6.1,1.1,0.5,3.2,1.7,27.3,0.444,0.393,0.921,curryst01
113,Tristan Da Silva,Projected,4.6,10.9,1.8,5.3,1.4,1.6,1.6,5.6,2.7,0.8,0.4,1.3,2.1,12.5,0.426,0.345,0.859,dasiltr01
114,Pacome Dadiet,Projected,5.2,11.9,2.1,5.8,2.1,2.8,1.4,6.5,3.1,1.2,0.7,1.7,2.5,14.5,0.434,0.356,0.76,dadiepa01
115,Dyson Daniels,Projected,5.8,11.8,1.2,3.4,1.2,1.9,1.7,6.5,4.7,2.9,0.7,2,2.5,14,0.496,0.346,0.628,daniedy01
116,N'Faly Dante,Projected,6.5,12.4,1.6,4.3,2.6,3.3,2.3,8.6,3.4,1.1,1.4,1.9,3.6,17.2,0.528,0.367,0.79,nfalyda01
117,Anthony Davis,Projected,9.5,18,0.6,2.2,5.7,7.2,3,12.3,3.6,1.2,2.2,2.3,2.3,25.4,0.529,0.284,0.788,davisan02
118,Johnny Davis,Projected,4.8,11.2,1.2,3.9,1.4,2.1,1.3,5.4,2.3,1.5,0.7,1.2,3,12.2,0.43,0.311,0.657,davisjo06
119,Terence Davis,Projected,6.2,14.1,2.7,7.5,2.1,2.7,1.2,6.2,3.4,1.4,0.6,2.1,3.5,17.3,0.442,0.359,0.784,daviste02
120,JD Davison,Projected,5.7,13,1.9,5.9,2.3,3.1,1.4,6.3,4.8,1.4,0.7,3,2.2,15.5,0.437,0.321,0.762,davisjd01
121,RayJ Dennis,Projected,6.1,14.4,2.4,7.1,2.1,2.6,1.5,6.6,5,2,0.8,2.2,3,16.8,0.428,0.334,0.811,dennira01
122,DeMar DeRozan,Projected,7.9,16.7,1,3.1,5.3,6.2,0.6,4,4.6,0.9,0.5,1.6,2.1,22.1,0.472,0.324,0.852,derozde01
123,Moussa Diabaté,Projected,5.1,8.8,0.2,0.8,2.2,3.5,5.2,12.1,1.9,1.4,1.1,1.8,3,12.6,0.578,0.3,0.626,diabamo01
124,Gradey Dick,Projected,6,14,2.6,7.1,2.6,3,1,4.5,2.3,1.1,0.2,1.7,2.6,17.2,0.429,0.365,0.858,dickgr01
125,Ousmane Dieng,Projected,5.2,11.6,2,6.2,1.4,1.8,1.5,6.7,3.3,1.2,0.6,1.7,2.6,13.9,0.449,0.329,0.762,diengou01
126,Rob Dillingham,Projected,6.6,14.3,1.9,5.2,1.1,1.6,1.1,4.4,6.3,1.4,0.2,3.2,2.6,16.1,0.461,0.356,0.668,dilliro01
127,Spencer Dinwiddie,Projected,4.8,11.6,2,5.8,3.1,3.9,0.4,3.6,5.9,1,0.3,1.7,2.2,14.7,0.412,0.337,0.801,dinwisp01
128,Donte DiVincenzo,Projected,5.9,13.7,3.8,9.7,1.2,1.6,0.9,5.1,4.3,1.6,0.4,2,2.6,17,0.433,0.397,0.773,divindo01
129,Luka Dončić,Projected,10.1,21.3,3.6,9.5,6.4,8.2,0.9,8.5,8.3,1.6,0.5,3.6,2.4,30.1,0.474,0.374,0.781,doncilu01
130,Luguentz Dort,Projected,4.7,10.8,2.7,6.8,1.4,1.8,1.5,5.1,2.1,1.3,0.7,1.1,3.6,13.5,0.436,0.401,0.785,dortlu01
131,Ayo Dosunmu,Projected,5.7,11.5,1.7,4.7,1.5,1.9,0.8,4,4.6,1.1,0.5,1.7,2.7,14.7,0.498,0.361,0.798,dosunay01
132,Jeff Dowtin Jr.,Projected,6.2,12.7,1.7,4.3,1.9,2.5,0.9,4.2,4.6,1.4,0.7,1.1,1.8,16,0.486,0.395,0.743,dowtije01
133,PJ Dozier,Projected,5.4,11.7,1.9,5.2,2.2,3.6,1.5,6.3,4.1,1.3,0.6,2,2.9,15,0.464,0.369,0.606,doziepj01
134,Andre Drummond,Projected,6.3,12.1,0.2,1,3,4.9,5.6,15.8,1.6,1.8,1,2.5,4.1,15.8,0.524,0.254,0.607,drumman01
135,Chris Duarte,Projected,4.9,11.9,2.2,6.3,2,2.5,1.4,5.9,2.9,1.1,0.4,1.5,3.4,13.9,0.41,0.349,0.795,duartch01
136,Alex Ducas,Projected,5.1,11.3,2.4,5.8,1.7,2.1,2.1,7.1,2.9,1.3,0.4,1.7,3,14.3,0.451,0.418,0.809,ducasal01
137,David Duke Jr.,Projected,6.3,13.3,1.9,4.8,2.3,3,1.5,6.2,3.8,1.2,0.5,2.2,2.9,16.8,0.476,0.385,0.764,dukeda01
138,Kris Dunn,Projected,4.2,9.3,1.4,4.2,0.6,0.8,1.2,5.3,5,2.3,0.6,1.8,3.9,10.4,0.451,0.343,0.719,dunnkr01
139,Ryan Dunn,Projected,5.4,12.3,2.1,6.6,0.7,1.2,2.3,6.9,1.8,1.2,1,1.1,3.9,13.7,0.444,0.324,0.577,dunnry01
140,Kevin Durant,Projected,9.3,17.9,2.3,5.6,4.7,5.6,0.5,6.1,4.4,0.8,1.2,3.1,1.8,25.6,0.517,0.411,0.846,duranke01
141,Jalen Duren,Projected,6.8,10.3,0.1,0.3,2.9,4,4.6,14.1,3.4,0.9,1.4,2.4,4.1,16.6,0.664,0.346,0.71,durenja01
142,Tari Eason,Projected,6.8,14,1.6,4.4,2.1,2.7,3.3,9.5,2.2,2.3,1.2,1.7,3.4,17.2,0.486,0.353,0.754,easonta01
143,Zach Edey,Projected,6.5,11.3,0.6,1.8,2.4,3.3,5.6,13.4,1.9,1,2.1,2.2,4.3,16,0.575,0.359,0.724,edeyza01
144,Anthony Edwards,Projected,9.2,19.9,3.4,8.8,5.2,6.2,0.8,5.8,4.8,1.3,0.6,3.1,1.9,26.9,0.461,0.391,0.833,edwaran01
145,Jesse Edwards,Projected,6.1,12.9,2,5.4,2.5,3.2,1.6,6.5,4.1,1.2,0.7,2,3.1,16.7,0.473,0.366,0.784,edwarje01
146,Justin Edwards,Projected,5.6,11.9,2.2,5.8,1.2,1.7,1.5,5,2.4,1.4,0.5,1.6,2.9,14.6,0.469,0.374,0.725,edwarju01
147,Kessler Edwards,Projected,4.4,9.3,1.6,4.2,1,1.3,1.4,6.6,2.7,1.2,1,1.1,3.4,11.6,0.476,0.389,0.804,edwarke02
148,Keon Ellis,Projected,4.3,8.9,2.6,5.9,1.4,1.7,1.2,4.2,2.5,2.1,1.1,1.4,3.4,12.5,0.486,0.43,0.824,elliske01
149,Joel Embiid,Projected,10.4,20.7,1.4,4.2,9.5,10.9,2.2,10.3,5.2,1.1,1.5,3.8,3,31.7,0.501,0.34,0.872,embiijo01
150,Tyson Etienne,Projected,5.2,12.9,2.6,7.9,2.2,2.8,1.2,4.5,3.5,1,0.5,2,3.4,15.3,0.407,0.323,0.79,etienty01
151,Drew Eubanks,Projected,5.2,8.9,0.3,0.7,2.2,3.1,2.9,10,2.5,0.8,1.8,1.9,3.3,13,0.584,0.413,0.708,eubandr01
152,Tosan Evbuomwan,Projected,5.1,11.2,1.4,4.2,2.7,3.6,1.7,6.5,2.9,1.2,0.6,1.9,2.8,14.3,0.452,0.338,0.755,evbuoto01
153,Dante Exum,Projected,5.7,11.5,1.9,4.4,2,2.7,0.8,4.6,5.1,0.9,0.3,1.9,3,15.5,0.499,0.442,0.764,exumda01
154,Bruno Fernando,Projected,6,11.1,0.4,1.4,2.8,4,3.3,10,3.2,1.1,1.6,2.5,5.3,15.2,0.538,0.329,0.702,fernabr01
155,Kyle Filipowski,Projected,6.3,12.4,1.9,5.2,2.3,3.4,2.6,10.3,3.5,1.2,0.6,2.3,3.8,16.8,0.51,0.362,0.673,filipky01
156,Dorian Finney-Smith,Projected,4,9.2,2.3,6.2,0.7,1,1.7,5.3,1.9,1.1,0.6,1.2,2.7,11,0.432,0.379,0.706,finnedo01
157,Adam Flagler,Projected,5.2,15.4,2.3,9.6,1.2,1.6,1.4,5.5,3.1,1.3,0.6,1.3,2.6,14,0.341,0.239,0.75,flaglad01
