RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
439,-0.55,E.J. Liddell,,45,7.1,2.7,0.45,1.39,0.44,0.17,0.21,0.29,40%,2.16,76%,0.7,-1.04,-0.73,-0.93,-0.97,-1.28,-0.53,1.08,-0.38,-0.16
440,-0.55,Colby Jones,,15,8.1,2.4,0.23,1.22,0.63,0.37,0.13,0.33,46%,1.96,64%,0.53,-1.08,-0.97,-0.83,-1.04,-0.78,-0.72,1.04,-0.1,-0.46
441,-0.55,Cam Christie,,46,7.1,3.3,0.55,0.93,0.52,0.19,0.08,0.24,44%,2.77,74%,0.38,-0.95,-0.62,-0.89,-1.16,-1.23,-0.83,1.15,-0.23,-0.19
442,-0.55,Tyson Etienne,,17,8.8,3.9,0.82,0.75,0.62,0.25,0.04,0.36,37%,3.38,82%,0.76,-0.85,-0.33,-0.83,-1.23,-1.08,-0.93,1,-0.78,0.06
443,-0.56,Pacôme Dadiet,,46,13.2,3.6,0.74,1.81,0.54,0.37,0.13,0.55,34%,3.4,72%,0.67,-0.9,-0.42,-0.88,-0.8,-0.78,-0.72,0.77,-1,-0.28
444,-0.56,Micah Peavy,Status$,46,11.1,3.3,0.24,1.68,0.61,0.4,0.14,0.68,44%,3.09,66%,0.49,-0.95,-0.96,-0.84,-0.85,-0.7,-0.69,0.61,-0.25,-0.39
445,-0.56,RJ Luis Jr.,Status$,51,10.9,4,0.34,1.9,0.7,0.43,0.14,0.93,40%,3.94,76%,0.68,-0.84,-0.85,-0.79,-0.76,-0.63,-0.69,0.3,-0.64,-0.16
446,-0.56,Alijah Martin,,17,8.1,3.1,0.56,1.35,0.51,0.3,0.07,0.45,40%,2.71,73%,0.46,-0.98,-0.61,-0.89,-0.99,-0.96,-0.86,0.89,-0.46,-0.22
447,-0.57,Tyler Smith,,15,6.1,2.2,0.31,1.22,0.25,0.19,0.21,0.29,44%,1.97,73%,0.25,-1.11,-0.88,-1.03,-1.04,-1.23,-0.53,1.08,-0.18,-0.19
448,-0.58,Javon Small,,17,8.1,3,0.55,1.02,1.18,0.25,0.07,0.68,38%,2.64,81%,0.58,-0.99,-0.62,-0.53,-1.12,-1.08,-0.86,0.61,-0.57,-0.02
449,-0.58,Trey Alexander,,48,8.9,3.5,0.49,1.04,0.91,0.23,0.09,0.43,39%,3.35,77%,0.55,-0.91,-0.69,-0.68,-1.11,-1.13,-0.81,0.91,-0.63,-0.13
450,-0.58,Elijah Harkless,,15,9.2,2.8,0.57,1.41,0.47,0.42,0.07,0.5,36%,2.6,68%,0.47,-1.02,-0.6,-0.91,-0.96,-0.65,-0.86,0.83,-0.67,-0.33
451,-0.58,Doug McDermott,Status$,34,8.1,3.1,0.93,0.45,0.28,0.11,0.02,0.13,42%,2.56,66%,0.08,-0.98,-0.21,-1.02,-1.35,-1.44,-0.98,1.28,-0.33,-0.19
452,-0.59,Noah Penda,,46,10.8,2.9,0.36,1.79,0.82,0.4,0.14,0.84,39%,2.62,69%,0.76,-1.01,-0.83,-0.73,-0.81,-0.7,-0.69,0.41,-0.51,-0.41
453,-0.59,Hunter Sallis,,17,9.9,3.1,0.41,1.23,0.61,0.29,0.12,0.63,40%,2.91,78%,0.51,-0.98,-0.77,-0.84,-1.04,-0.98,-0.74,0.67,-0.49,-0.11
454,-0.59,Bryce McGowens,,48,7.9,3.4,0.28,0.86,0.44,0.18,0.09,0.37,45%,2.56,78%,1,-0.93,-0.92,-0.93,-1.19,-1.26,-0.81,0.99,-0.16,-0.06
455,-0.6,John Tonje,,15,8.1,2.7,0.43,1.13,0.35,0.19,0.07,0.38,40%,2.25,80%,0.66,-1.04,-0.75,-0.98,-1.08,-1.23,-0.86,0.97,-0.39,-0.03
