RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
173,0.16,Buddy Hield,Status$,75,23.3,11.8,2.69,3.24,1.45,0.85,0.28,0.82,44%,9.53,83%,0.86,0.34,1.71,-0.39,-0.21,0.43,-0.36,0.44,-0.64,0.13
174,0.16,Luguentz Dort,Status$,74,29.5,9.3,2.31,3.92,1.45,1.08,0.5,0.82,42%,7.92,73%,0.54,-0.04,1.29,-0.39,0.07,1.01,0.16,0.44,-0.89,-0.23
175,0.16,Bilal Coulibaly,,66,32.3,12.8,1.2,5.12,3.72,1.24,0.69,2.08,44%,10.72,72%,3.11,0.49,0.09,0.83,0.56,1.41,0.6,-1.11,-0.71,-0.75
176,0.16,Brice Sensabaugh,,72,25.3,15.4,2.94,3.6,1.97,0.71,0.15,1.73,44%,12.43,87%,1.86,0.89,1.97,-0.11,-0.07,0.08,-0.67,-0.68,-0.82,0.81
177,0.15,Jerami Grant,,55,28.6,13.5,2.25,3.14,1.68,0.8,0.81,1.37,38%,11.52,87%,2.92,0.6,1.22,-0.27,-0.25,0.3,0.89,-0.24,-2.25,1.35
178,0.15,Dillon Brooks,,75,31.5,14.2,2.54,3.43,2.64,0.94,0.2,1.5,43%,11.67,81%,1.92,0.7,1.54,0.25,-0.14,0.66,-0.55,-0.4,-1.02,0.29
179,0.15,Kon Knueppel,,70,27.3,12.4,1.97,2.97,2.71,0.8,0.17,1.37,44%,9.44,88%,2.39,0.43,0.93,0.29,-0.32,0.3,-0.62,-0.24,-0.64,1.19
180,0.14,Moussa Diabaté,,71,22.4,9.5,0.03,7.6,0.9,0.91,0.63,1.1,63%,6.12,65%,2.76,-0.01,-1.18,-0.68,1.57,0.58,0.46,0.09,2.07,-1.6
181,0.14,Chris Paul,,69,23.6,7.4,1.54,3.1,5.11,1.03,0.25,1.33,43%,6.19,88%,0.6,-0.32,0.45,1.57,-0.27,0.88,-0.43,-0.19,-0.57,0.18
182,0.14,Guerschon Yabusele,Status$,72,25.7,10.5,1.35,4.9,2.05,0.8,0.27,1.22,52%,7.52,76%,1.68,0.14,0.25,-0.07,0.47,0.3,-0.39,-0.05,0.78,-0.16
183,0.14,Wendell Carter Jr.,,68,27.5,8.8,0.76,7.22,1.58,0.82,0.73,1.23,49%,6.94,71%,1.73,-0.11,-0.39,-0.32,1.42,0.35,0.7,-0.07,0.26,-0.57
184,0.14,Nikola Jović,,61,25.6,10.2,1.68,4.25,3,0.82,0.32,1.57,47%,7.83,84%,1.26,0.1,0.61,0.44,0.2,0.35,-0.27,-0.48,-0.03,0.32
185,0.14,Day'Ron Sharpe,Status$,71,18.7,8.4,0.31,7.46,1.88,0.59,0.93,1.24,52%,6.92,68%,1.29,-0.17,-0.88,-0.16,1.51,-0.23,1.17,-0.08,0.71,-0.65
186,0.13,Luke Kornet,,68,17.2,6,0.01,5.08,1.17,0.43,0.97,0.37,69%,3.86,69%,0.96,-0.54,-1.21,-0.54,0.54,-0.63,1.26,0.99,1.78,-0.48
187,0.13,Brandon Clarke,,47,16.8,8.3,0.01,4.75,1.23,0.66,0.57,0.64,67%,5.42,70%,1.42,-0.19,-1.21,-0.51,0.4,-0.05,0.32,0.66,2.29,-0.56
188,0.13,Ace Bailey,,67,31.4,16.7,1.79,5.92,1.76,0.85,0.65,1.63,44%,15.16,71%,2.4,1.08,0.73,-0.22,0.88,0.43,0.51,-0.55,-0.98,-0.73
189,0.11,Sam Merrill,Status$,72,22.8,9.5,2.64,2.68,1.95,0.83,0.19,0.52,43%,7.76,93%,0.24,-0.01,1.65,-0.12,-0.44,0.38,-0.58,0.8,-0.7,0.04
190,0.11,Dennis Schröder,,76,30.6,12.4,1.44,2.97,6.31,0.81,0.19,1.89,40%,10.28,84%,3.19,0.43,0.34,2.21,-0.32,0.33,-0.58,-0.87,-1.57,1.04
191,0.11,Zach Collins,,60,17.7,8.3,0.67,5.79,2.17,0.52,0.59,1.38,53%,5.97,83%,1.63,-0.19,-0.49,0,0.83,-0.4,0.37,-0.25,0.73,0.38
192,0.11,Keyonte George,,70,29.5,17.2,2.76,3.29,4.6,0.58,0.13,2.02,40%,13.7,82%,4.15,1.16,1.78,1.3,-0.19,-0.25,-0.72,-1.03,-2.08,1.01
193,0.11,Yves Missi,,68,24.3,8.6,0.01,7.92,1.17,0.39,1.24,0.8,57%,6.23,62%,2.44,-0.14,-1.21,-0.54,1.7,-0.73,1.9,0.46,1.3,-1.78
194,0.11,Rui Hachimura,,74,28.5,11.8,1.54,4.17,1.02,0.59,0.35,0.6,50%,9.06,75%,1.54,0.34,0.45,-0.62,0.17,-0.23,-0.2,0.71,0.56,-0.23
195,0.1,Jaylin Williams,,65,18.7,6.2,1.3,5.99,2.78,0.56,0.61,0.91,44%,4.77,77%,0.81,-0.51,0.19,0.32,0.91,-0.3,0.42,0.33,-0.35,-0.12
196,0.1,Ben Sheppard,,71,24.4,8.5,1.61,3.99,2.2,0.84,0.25,0.69,43%,7,90%,0.94,-0.16,0.53,0.01,0.09,0.4,-0.43,0.6,-0.64,0.46
197,0.09,Larry Nance Jr.,,61,22.4,7.3,0.91,4.84,1.92,1.05,0.42,0.77,47%,6.32,73%,0.63,-0.34,-0.23,-0.14,0.44,0.93,-0.03,0.5,-0.04,-0.25
198,0.09,Dylan Harper,,72,27.4,13.7,1.19,4.59,3.85,1.06,0.4,2.12,45%,10.94,75%,3.61,0.63,0.07,0.9,0.34,0.96,-0.08,-1.15,-0.49,-0.34
199,0.09,Jaylen Wells,,74,27.5,11.2,1.9,4.27,2.16,0.62,0.12,0.99,44%,8.38,85%,2.15,0.25,0.84,-0.01,0.21,-0.15,-0.74,0.23,-0.57,0.75
200,0.09,Tre Jones,,73,20.3,8.4,0.41,2.86,4.32,0.83,0.17,0.89,50%,6.67,84%,1.64,-0.17,-0.78,1.15,-0.37,0.38,-0.62,0.35,0.39,0.46
201,0.09,Terance Mann,,67,26.6,10.7,1.12,3.69,2.24,0.69,0.23,0.9,51%,8.22,79%,1.38,0.17,0,0.03,-0.03,0.03,-0.48,0.34,0.68,0.04
202,0.08,Bruce Brown,,73,26.5,10.3,0.95,3.87,2.7,0.9,0.39,1.34,47%,8.46,81%,1.73,0.11,-0.18,0.28,0.04,0.55,-0.1,-0.2,-0.03,0.25
203,0.08,Collin Murray-Boyles,,68,21.3,8.7,0.19,5.18,1.97,1.14,0.78,1.47,52%,6.41,70%,2.62,-0.13,-1.01,-0.11,0.58,1.16,0.82,-0.36,0.65,-0.91
204,0.08,De'Anthony Melton,,47,21.3,9.3,1.78,3.42,2.7,1.15,0.36,1.41,41%,7.85,82%,1.25,-0.04,0.72,0.28,-0.14,1.18,-0.17,-0.29,-1.05,0.2
205,0.07,RJ Barrett,Status$,76,31.3,17.6,1.63,6.03,4.07,0.81,0.26,2.09,45%,14.65,70%,3.94,1.22,0.55,1.01,0.93,0.33,-0.41,-1.12,-0.64,-1.29
206,0.06,Luka Garza,,64,21.6,12.3,0.99,5.71,1.35,0.53,0.29,1.34,53%,8.85,75%,2.65,0.42,-0.14,-0.44,0.8,-0.38,-0.34,-0.2,1.12,-0.29
207,0.06,Ryan Dunn,,71,26.5,9.9,1.81,5.72,0.85,1.27,0.69,0.75,40%,9.44,51%,1.16,0.05,0.75,-0.71,0.8,1.49,0.6,0.52,-1.45,-1.53
208,0.06,Duncan Robinson,,68,26.6,11.5,2.78,2.64,2.36,0.69,0.11,1.29,44%,9.21,88%,0.74,0.3,1.8,0.1,-0.46,0.03,-0.76,-0.14,-0.62,0.26
209,0.05,Noah Clowney,,71,25.3,11.7,2,4.5,1.05,0.57,0.69,1.11,40%,9.62,82%,2.6,0.33,0.95,-0.6,0.3,-0.28,0.6,0.08,-1.48,0.57
210,0.05,Ronald Holland II,,74,23.3,10.2,0.87,3.85,2.05,1.07,0.38,1.34,49%,7.29,75%,2.85,0.1,-0.27,-0.07,0.04,0.98,-0.13,-0.2,0.28,-0.3
211,0.05,Harrison Barnes,Status$,73,24.6,10.6,1.85,3.17,1.34,0.52,0.16,0.6,49%,7.58,81%,1.6,0.16,0.79,-0.45,-0.24,-0.4,-0.65,0.71,0.29,0.22
212,0.05,Max Strus,,36,25.4,9.9,2.23,4.21,2.95,0.58,0.2,1.06,43%,8.14,79%,0.79,0.05,1.2,0.41,0.18,-0.25,-0.55,0.14,-0.73,-0.05
213,0.04,P.J. Washington,,76,27.5,12.3,1.35,5.17,1.77,0.87,0.64,1.56,47%,9.62,69%,2.82,0.42,0.25,-0.22,0.58,0.48,0.49,-0.47,-0.03,-1.1
214,0.04,Ryan Rollins,,71,18.7,7.8,0.98,2.6,3.33,1.05,0.28,1.34,49%,5.99,80%,1.29,-0.26,-0.16,0.62,-0.47,0.93,-0.36,-0.2,0.22,0.08
215,0.04,Mike Conley,Status$,58,23.3,7.4,1.55,2.34,4.05,0.82,0.19,1.02,43%,5.82,88%,0.96,-0.32,0.46,1,-0.58,0.35,-0.58,0.19,-0.54,0.39
216,0.04,Marcus Smart,Status$,46,27.4,9.7,1.52,2.5,3.85,1.5,0.28,1.85,40%,8.54,77%,1.7,0.02,0.44,0.9,-0.52,2.07,-0.36,-0.82,-1.32,-0.08
217,0.03,Bub Carrington,,71,28.6,10.4,1.88,4.58,5.15,0.56,0.31,2.24,42%,8.87,83%,1.37,0.13,0.83,1.59,0.34,-0.3,-0.29,-1.3,-0.99,0.29
218,0.03,Royce O'Neale,,74,22.3,8.7,2.26,3.68,2.41,0.78,0.4,0.92,41%,7.52,66%,0.52,-0.13,1.24,0.12,-0.03,0.25,-0.08,0.31,-1.01,-0.4
219,0.03,Jonathan Isaac,Status$,56,16.2,4.4,0.44,4.65,0.7,0.96,1.15,0.67,43%,3.62,71%,1.13,-0.78,-0.74,-0.79,0.36,0.71,1.69,0.62,-0.36,-0.43
220,0.03,Karlo Matković,,42,16.3,7.2,0.51,4.26,0.89,0.43,0.75,0.9,60%,4.97,79%,0.91,-0.35,-0.67,-0.69,0.2,-0.63,0.75,0.34,1.35,-0.03
221,0.03,Justin Champagnie,Status$,61,17.7,7,0.9,4.64,0.79,0.81,0.5,0.69,52%,5.14,72%,1,-0.39,-0.24,-0.74,0.36,0.33,0.16,0.6,0.51,-0.35
222,0.02,Moritz Wagner,,38,17.3,10.1,0.63,4.38,1.17,0.6,0.27,1.09,58%,6.41,77%,2.65,0.08,-0.54,-0.54,0.25,-0.2,-0.39,0.11,1.48,-0.04
223,0.02,Moses Moody,Status$,72,22.4,9.2,1.61,2.48,1.18,0.81,0.47,0.68,45%,7.1,80%,1.41,-0.05,0.53,-0.53,-0.52,0.33,0.08,0.61,-0.34,0.11
224,0.02,Klay Thompson,,62,25.3,11.6,2.64,2.67,1.6,0.56,0.43,0.89,41%,10.3,90%,0.72,0.31,1.65,-0.31,-0.45,-0.3,-0.01,0.35,-1.36,0.32
225,0.02,Dru Smith,,38,18.8,6.1,0.98,2.4,2.02,1.19,0.36,0.9,47%,4.82,82%,0.8,-0.52,-0.16,-0.08,-0.56,1.28,-0.17,0.34,-0.04,0.07
226,0.01,Quinten Post,,65,20.3,9.6,2.17,3.68,1.3,0.45,0.53,0.94,45%,7.66,77%,0.84,0.01,1.14,-0.47,-0.03,-0.58,0.23,0.29,-0.36,-0.12
227,0.01,Collin Sexton,Status$,59,25.4,12.5,1.24,2.24,3.18,0.66,0.11,1.79,48%,9.63,86%,2.4,0.45,0.13,0.54,-0.62,-0.05,-0.76,-0.75,0.18,0.97
228,0.01,Khaman Maluach,Status$,66,18.8,6.9,0.18,5.79,0.68,0.34,0.91,0.91,57%,4.98,76%,1.26,-0.4,-1.02,-0.8,0.83,-0.86,1.12,0.33,1.03,-0.16
229,0.01,Bogdan Bogdanović,,55,22.7,9.8,1.74,2.82,2.19,0.65,0.18,0.96,45%,7.88,89%,1.08,0.04,0.67,0.01,-0.38,-0.08,-0.6,0.27,-0.37,0.5
230,0.01,Jonathan Kuminga,Status$,73,26.7,17.4,1.14,5.46,2.49,0.86,0.49,1.62,48%,12.84,68%,5.7,1.19,0.02,0.17,0.7,0.45,0.13,-0.54,0.26,-2.33
231,0.01,Isaiah Collier,,74,27.6,11.4,0.79,3.32,6.73,1.16,0.24,2.66,46%,9.43,71%,2.87,0.28,-0.36,2.44,-0.18,1.21,-0.46,-1.81,-0.23,-0.84
232,0,Tre Johnson,,73,28.6,13.9,2.29,2.67,2.57,0.74,0.22,1.45,41%,12.13,84%,2.06,0.66,1.27,0.21,-0.45,0.15,-0.5,-0.33,-1.59,0.62
233,0,Davion Mitchell,,74,26.5,7.3,0.89,2.42,5.16,1.15,0.22,1.55,46%,6.05,70%,1.15,-0.34,-0.25,1.6,-0.55,1.18,-0.5,-0.46,-0.17,-0.49
234,0,Dean Wade,,67,24.3,6.7,1.75,3.98,1.18,0.81,0.44,0.46,42%,5.4,68%,0.63,-0.43,0.68,-0.53,0.09,0.33,0.01,0.88,-0.62,-0.4
235,0,Jordan Clarkson,Status$,68,26.6,14.2,2.15,3.19,4.35,0.77,0.17,2.27,41%,12.01,81%,2.86,0.7,1.12,1.16,-0.23,0.23,-0.62,-1.34,-1.57,0.51
236,-0.01,Vince Williams Jr.,,72,20.8,8.9,1.47,4.2,2.59,0.68,0.41,1.29,43%,7.41,81%,1.25,-0.1,0.38,0.22,0.18,0,-0.06,-0.14,-0.67,0.14
237,-0.01,Nickeil Alexander-Walker,,75,24.6,9.5,1.81,3.18,2.6,0.62,0.46,1.22,43%,7.52,78%,1.6,-0.01,0.75,0.23,-0.24,-0.15,0.06,-0.05,-0.68,-0.01
238,-0.01,Kris Dunn,Status$,61,19.7,5.4,0.88,2.86,2.16,1.23,0.33,0.78,44%,4.99,81%,0.24,-0.63,-0.27,-0.01,-0.37,1.39,-0.25,0.49,-0.37,-0.1
239,-0.02,Naji Marshall,,74,24.6,10.3,0.98,4.54,2.45,0.87,0.16,1.48,46%,8.53,80%,1.84,0.11,-0.15,0.15,0.32,0.48,-0.65,-0.37,-0.21,0.19
240,-0.02,Dorian Finney-Smith,Status$,61,26.6,8.8,1.98,3.47,1.17,0.87,0.35,0.88,43%,7.43,71%,0.52,-0.11,0.94,-0.54,-0.12,0.48,-0.2,0.36,-0.68,-0.28
241,-0.03,Jaxson Hayes,Status$,68,16.8,6.4,0.01,3.96,0.78,0.51,0.75,0.69,76%,3.56,65%,1.59,-0.48,-1.21,-0.75,0.08,-0.43,0.75,0.6,2.18,-0.99
242,-0.03,Cole Anthony,,67,19.2,9,1.14,3.16,3.09,0.69,0.37,1.51,44%,7.36,86%,1.62,-0.08,0.02,0.49,-0.25,0.03,-0.15,-0.41,-0.51,0.61
243,-0.03,Isaiah Joe,,73,19.4,8.9,2.3,2.35,1.36,0.52,0.12,0.4,45%,6.78,84%,0.65,-0.1,1.28,-0.44,-0.58,-0.4,-0.74,0.95,-0.33,0.09
244,-0.03,Tyus Jones,Status$,73,23.4,6.8,1.36,2.13,4.31,0.74,0.1,0.74,44%,6,84%,0.24,-0.42,0.26,1.14,-0.67,0.15,-0.79,0.53,-0.43,-0.07
245,-0.03,Terrence Shannon Jr.,Status$,74,24.3,10.3,0.81,3.15,1.91,0.55,0.31,0.95,50%,8.35,81%,1.38,0.11,-0.34,-0.14,-0.25,-0.33,-0.29,0.28,0.51,0.17
246,-0.03,Hansen Yang,,58,18.3,7.6,0.39,6.37,1.98,0.49,1.09,2.03,51%,6.01,69%,1.57,-0.29,-0.79,-0.11,1.07,-0.48,1.55,-1.04,0.48,-0.68
247,-0.04,Anthony Black,,74,21.7,8.1,0.72,3.09,2.22,1.01,0.55,1.19,45%,7.05,76%,1.44,-0.22,-0.44,0.02,-0.27,0.83,0.27,-0.02,-0.34,-0.16
248,-0.04,Taurean Prince,,78,27.4,7.4,1.53,2.87,1.87,0.94,0.23,1.02,45%,5.83,81%,0.72,-0.32,0.45,-0.16,-0.36,0.66,-0.48,0.19,-0.29,0.01
249,-0.04,Derrick Jones Jr.,,74,23.7,8.9,0.96,3.35,0.71,0.88,0.49,0.77,52%,6.71,65%,1.48,-0.1,-0.18,-0.79,-0.17,0.5,0.13,0.5,0.69,-0.93
250,-0.05,Peyton Watson,,74,19.3,6.6,0.55,3.2,1.04,0.51,1.25,0.7,50%,5.06,66%,1.52,-0.45,-0.63,-0.61,-0.23,-0.43,1.92,0.58,0.28,-0.88
251,-0.05,Stephon Castle,,77,28.6,14.3,1.08,3.95,4.29,1,0.3,2.32,45%,11.71,72%,3.88,0.72,-0.04,1.13,0.08,0.81,-0.32,-1.4,-0.52,-0.9
252,-0.05,Baylor Scheierman,,71,20.6,8.7,1.76,4.2,2.35,0.85,0.13,1.06,41%,7.54,76%,1.06,-0.13,0.7,0.09,0.18,0.43,-0.72,0.14,-1.01,-0.16
253,-0.05,Mouhamed Gueye,,70,15.3,5.5,0.6,4.01,0.73,0.69,0.83,0.47,45%,4.55,75%,1.19,-0.61,-0.57,-0.77,0.1,0.03,0.93,0.86,-0.24,-0.22
254,-0.06,Haywood Highsmith,,63,24.3,6,1.14,3.98,1.66,0.83,0.34,0.74,45%,5.07,72%,0.39,-0.54,0.02,-0.28,0.09,0.38,-0.22,0.53,-0.26,-0.23
255,-0.06,Keldon Johnson,,75,20.3,9.9,0.92,3.97,1.3,0.49,0.26,0.92,50%,7.78,80%,1.61,0.05,-0.22,-0.47,0.09,-0.48,-0.41,0.31,0.47,0.14
256,-0.06,Saddiq Bey,Status$,54,23.3,9.7,1.45,4.05,0.92,0.57,0.15,0.72,43%,7.84,87%,1.76,0.02,0.36,-0.67,0.12,-0.28,-0.67,0.56,-0.71,0.75
257,-0.06,Isaac Okoro,Status$,61,22.4,8.2,1.04,2.71,1.55,0.69,0.37,0.51,50%,6.12,71%,1.46,-0.2,-0.09,-0.34,-0.43,0.03,-0.15,0.82,0.36,-0.51
258,-0.06,Miles McBride,Status$,67,20.7,7.9,1.49,2.09,1.93,0.9,0.23,0.52,42%,7.1,82%,0.56,-0.25,0.41,-0.13,-0.68,0.55,-0.48,0.8,-0.8,0
259,-0.07,Jose Alvarado,,55,19.6,7.8,1.44,2.17,2.99,1.01,0.22,0.98,40%,6.97,81%,0.93,-0.26,0.35,0.44,-0.65,0.83,-0.5,0.24,-1.09,0.06
260,-0.07,Patrick Williams,Status$,68,21.7,8.8,1.42,3.09,1.64,0.77,0.38,1.14,46%,7.29,75%,0.99,-0.11,0.32,-0.29,-0.27,0.23,-0.13,0.04,-0.19,-0.21
261,-0.07,Jake LaRavia,,66,23.2,7.9,1.12,3.22,1.76,0.98,0.37,1.11,45%,6.27,74%,1.44,-0.25,0,-0.22,-0.22,0.76,-0.15,0.08,-0.31,-0.3
262,-0.07,Aaron Holiday,,72,21.2,9.7,2.21,1.77,2.14,0.59,0.2,0.86,42%,7.93,86%,0.95,0.02,1.18,-0.02,-0.81,-0.23,-0.55,0.39,-0.89,0.29
263,-0.07,Jarace Walker,,68,17.8,7.4,1.25,3.36,2.01,0.62,0.42,1,46%,6.03,79%,0.81,-0.32,0.14,-0.09,-0.16,-0.15,-0.03,0.22,-0.17,-0.04
264,-0.07,AJ Green,,72,26.6,8.1,2.28,2.86,2.14,0.56,0.11,0.64,41%,6.6,83%,0.45,-0.22,1.26,-0.02,-0.37,-0.3,-0.76,0.66,-0.89,-0.01
265,-0.08,Trendon Watford,,69,20.6,9.5,0.45,4.12,1.93,0.6,0.31,1.41,54%,6.79,76%,2.16,-0.01,-0.73,-0.13,0.15,-0.2,-0.29,-0.29,0.99,-0.16
266,-0.08,Derik Queen,,58,20.8,10.3,0.17,5.4,1.3,0.61,0.49,1.35,49%,8.1,77%,2.83,0.11,-1.03,-0.47,0.67,-0.18,0.13,-0.21,0.32,-0.03
267,-0.08,Nick Richards,Status$,56,16.8,6.7,0.01,5.75,0.55,0.17,0.69,1.06,62%,4.38,80%,1.62,-0.43,-1.21,-0.87,0.81,-1.28,0.6,0.14,1.37,0.15
268,-0.09,Ochai Agbaji,Status$,72,19.8,7.8,1.21,2.85,0.96,0.67,0.36,0.65,49%,6.43,71%,0.45,-0.26,0.1,-0.65,-0.37,-0.02,-0.17,0.64,0.24,-0.26
269,-0.09,Grant Williams,,37,23.6,7.1,1.21,4.57,1.63,0.66,0.47,1.11,41%,5.86,80%,1.44,-0.37,0.09,-0.29,0.33,-0.05,0.08,0.08,-0.8,0.11
270,-0.1,Jaime Jaquez Jr.,Status$,71,20.2,7.7,0.52,4.39,2.64,0.86,0.21,1.6,50%,6.21,75%,1.3,-0.28,-0.66,0.25,0.26,0.45,-0.53,-0.52,0.36,-0.22
271,-0.1,Walter Clayton Jr.,,71,21.3,10,1.85,2.6,2.76,0.71,0.31,1.5,40%,8.48,82%,1.7,0.07,0.79,0.31,-0.47,0.08,-0.29,-0.4,-1.31,0.32
272,-0.1,Tony Bradley,,47,13.8,6.1,0.08,4.75,0.77,0.3,0.77,0.75,63%,4.19,66%,1.14,-0.52,-1.13,-0.75,0.4,-0.96,0.79,0.52,1.4,-0.7
273,-0.11,Clint Capela,,48,17.3,7.2,0,6.44,0.8,0.47,0.75,0.66,55%,5.91,55%,1.42,-0.35,-1.22,-0.74,1.1,-0.53,0.75,0.63,0.98,-1.57
274,-0.11,Kelly Olynyk,Status$,51,17.2,7.1,0.67,3.77,2.3,0.61,0.36,1.35,50%,4.91,79%,1.85,-0.37,-0.49,0.07,0,-0.18,-0.17,-0.21,0.27,0.1
275,-0.12,Marcus Sasser,,66,17.2,8,1.09,1.45,2.84,0.7,0.11,1.16,47%,6.15,88%,1.2,-0.23,-0.03,0.35,-0.95,0.05,-0.76,0.02,-0.04,0.52
276,-0.12,Trayce Jackson-Davis,,57,16.8,8.1,0.03,5.96,1.61,0.43,0.8,0.75,58%,5.83,56%,2.34,-0.22,-1.19,-0.3,0.9,-0.63,0.86,0.52,1.34,-2.37
277,-0.13,Jarred Vanderbilt,,59,19.6,5.5,0.23,4.84,1.21,1.01,0.24,0.91,55%,4.17,63%,1.14,-0.61,-0.97,-0.52,0.44,0.83,-0.46,0.33,0.67,-0.86
278,-0.13,Gradey Dick,,73,24.6,10.6,1.67,3.18,1.26,0.75,0.11,1.06,41%,9.05,83%,1.83,0.16,0.6,-0.49,-0.24,0.18,-0.76,0.14,-1.2,0.44
279,-0.13,Jusuf Nurkić,Status$,44,16.2,8.1,0.41,5.8,2.24,0.64,0.55,1.52,51%,6.28,64%,2.07,-0.22,-0.77,0.03,0.83,-0.1,0.27,-0.42,0.5,-1.34
280,-0.13,Joan Beringer,Status$,58,14.2,3.6,0,3.62,0.4,0.61,1.15,0.46,58%,2.6,58%,1.03,-0.9,-1.22,-0.95,-0.06,-0.18,1.69,0.88,0.56,-1.03
281,-0.14,Carter Bryant,,68,21.8,5.1,0.85,4.32,0.93,0.91,0.71,1.1,40%,4.71,69%,0.71,-0.67,-0.29,-0.67,0.23,0.58,0.65,0.09,-0.76,-0.39
282,-0.14,Jaylon Tyson,,62,19.3,8.4,0.98,3.73,1.81,0.6,0.16,0.97,46%,6.99,80%,1.26,-0.17,-0.15,-0.2,-0.01,-0.2,-0.65,0.25,-0.19,0.08
283,-0.14,Mason Plumlee,Status$,53,16.8,4.9,0,5.93,1.82,0.42,0.49,0.94,64%,2.82,69%,1.92,-0.7,-1.22,-0.19,0.89,-0.65,0.13,0.29,0.98,-0.8
284,-0.14,Tre Mann,Status$,47,22.4,10.1,1.28,2.79,2.99,0.75,0.14,1.68,44%,8.94,81%,1.34,0.08,0.17,0.44,-0.4,0.18,-0.69,-0.62,-0.61,0.16
285,-0.14,Kevon Looney,Status$,69,15.8,4,0.04,5.94,1.45,0.55,0.48,0.41,50%,3.15,67%,1.19,-0.84,-1.17,-0.39,0.89,-0.33,0.11,0.94,0.15,-0.67
286,-0.14,Julian Champagnie,,70,19.3,6.7,1.48,3.05,1.13,0.6,0.32,0.72,41%,5.68,90%,0.66,-0.43,0.39,-0.56,-0.29,-0.2,-0.27,0.56,-0.78,0.28
287,-0.15,Cedric Coward,,62,18.2,8,1.03,4.38,1.62,0.62,0.46,1.66,45%,6.43,79%,1.39,-0.23,-0.1,-0.3,0.25,-0.15,0.06,-0.59,-0.32,0.04
288,-0.15,Jamal Shead,,73,19.6,7.6,0.98,1.62,4.34,0.97,0.17,1.44,41%,7.04,78%,1.13,-0.29,-0.15,1.16,-0.88,0.73,-0.62,-0.32,-0.95,-0.05
289,-0.16,Ja'Kobe Walter,,69,19.3,8.5,1.35,2.82,1.37,0.77,0.17,0.92,43%,6.98,79%,1.45,-0.16,0.25,-0.43,-0.38,0.23,-0.62,0.31,-0.64,0.05
290,-0.17,Luke Kennard,Status$,66,19.3,6.8,1.35,2.36,2.41,0.45,0.04,0.92,47%,5.17,94%,0.6,-0.42,0.25,0.12,-0.57,-0.58,-0.93,0.31,-0.04,0.35
291,-0.17,Egor Dëmin,,64,27.5,10.6,1.51,4.18,5.3,1.03,0.36,3.07,39%,10.17,71%,1.63,0.16,0.43,1.67,0.17,0.88,-0.17,-2.32,-1.78,-0.55
292,-0.17,Johnny Furphy,,73,15.7,6.3,0.9,3.21,1.02,0.63,0.33,0.53,44%,4.89,78%,1.43,-0.49,-0.24,-0.62,-0.23,-0.13,-0.25,0.79,-0.36,-0.02
293,-0.18,Marvin Bagley III,Status$,56,15.8,7.1,0.25,5.01,0.73,0.38,0.48,0.79,55%,5.16,69%,1.56,-0.37,-0.95,-0.77,0.51,-0.76,0.11,0.47,0.85,-0.68
294,-0.18,Collin Gillespie,,70,14.2,5.6,1.08,1.96,2.6,0.69,0.11,0.62,42%,4.62,85%,0.72,-0.6,-0.04,0.23,-0.74,0.03,-0.76,0.68,-0.54,0.15
295,-0.18,Julian Strawther,,65,19.3,8.7,1.47,1.99,1.2,0.48,0.2,0.79,45%,6.81,83%,1.36,-0.13,0.38,-0.52,-0.72,-0.5,-0.55,0.47,-0.33,0.29
296,-0.18,Paul Reed,,51,10.8,4.2,0.2,3.28,0.83,0.62,0.64,0.55,52%,3.37,71%,0.72,-0.81,-1,-0.72,-0.2,-0.15,0.49,0.77,0.31,-0.33
297,-0.18,Max Christie,,75,21.8,7.6,1.18,2.82,1.45,0.63,0.28,1.01,41%,6.32,86%,1.38,-0.29,0.06,-0.39,-0.38,-0.13,-0.36,0.2,-0.86,0.49
298,-0.19,Kyle Anderson,,49,14.1,5.6,0.2,2.75,2.36,0.47,0.46,0.65,50%,4.71,75%,1.01,-0.6,-1,0.1,-0.41,-0.53,0.06,0.64,0.26,-0.21
299,-0.19,Oso Ighodaro,,42,17.7,5.4,0.01,3.3,1.57,0.49,0.53,0.65,61%,4.03,59%,0.94,-0.63,-1.21,-0.33,-0.19,-0.48,0.23,0.64,1.17,-0.91
300,-0.19,Jalen Pickett,,72,18.3,6.4,1.27,2,3.37,0.54,0.11,0.86,44%,5.56,74%,0.35,-0.48,0.16,0.64,-0.72,-0.35,-0.76,0.39,-0.4,-0.19
301,-0.19,Drew Eubanks,,58,13.8,4.6,0.03,4.07,0.9,0.26,0.74,0.67,59%,3.34,72%,0.93,-0.75,-1.18,-0.68,0.13,-1.06,0.72,0.62,0.81,-0.33
302,-0.19,Jordan Goodwin,,68,16.2,5.2,0.7,3.01,2.43,0.79,0.31,0.97,42%,4.75,77%,0.64,-0.66,-0.46,0.14,-0.31,0.28,-0.29,0.25,-0.56,-0.13
303,-0.2,Andre Drummond,,61,16.7,6.1,0.08,7.06,0.59,0.73,0.5,1.14,49%,4.96,65%,1.84,-0.52,-1.13,-0.85,1.35,0.13,0.16,0.04,0.17,-1.12
