,PLAYER,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
509,Hunter Tyson,13.7,4.8,11.7,0.412,2.6,2.0,0.765,2.1,7.0,2.4,1.0,0.6,1.5
510,Jaylon Tyson,14.6,5.5,12.2,0.45,2.3,1.8,0.794,1.7,7.5,3.7,1.1,0.4,2.0
511,Stanley Umude,14.1,4.7,11.5,0.409,3.1,2.5,0.811,2.1,6.5,2.5,1.1,1.2,1.7
512,Jonas Valančiūnas,19.2,7.8,14.3,0.543,3.8,3.2,0.835,0.5,13.8,3.5,0.7,1.1,2.6
513,Jarred Vanderbilt,10.8,4.3,8.4,0.508,2.5,1.6,0.652,0.7,10.2,2.9,1.9,0.5,1.8
514,Fred VanVleet,15.8,5.3,13.5,0.393,2.8,2.3,0.838,2.8,3.9,6.4,1.5,0.6,1.6
515,Devin Vassell,19.9,7.5,16.4,0.459,2.6,2.1,0.798,2.8,4.6,3.8,1.4,0.5,1.7
516,Gabe Vincent,11.4,4.2,10.3,0.403,0.9,0.7,0.77,2.4,2.6,2.6,1.2,0.3,1.2
517,Nikola Vučević,19.9,8.2,16.2,0.505,2.2,1.7,0.807,1.7,11.1,3.8,0.9,0.8,1.8
518,Tristan Vukcevic,22.0,8.0,16.0,0.497,4.5,3.5,0.785,2.5,8.7,3.1,0.9,1.5,2.6
519,Dean Wade,9.8,3.4,8.1,0.42,1.1,0.7,0.647,2.3,7.0,2.1,1.2,0.7,0.8
520,Franz Wagner,24.0,8.9,18.6,0.478,5.2,4.5,0.864,1.8,6.0,4.7,1.3,0.4,2.3
521,Moritz Wagner,22.2,8.2,14.5,0.564,5.7,4.4,0.774,1.4,8.8,2.7,1.2,0.6,2.6
522,Jabari Walker,14.7,5.5,11.1,0.491,3.5,2.6,0.739,1.2,10.2,1.9,1.2,0.4,1.5
523,Jarace Walker,14.5,5.4,11.2,0.476,2.1,1.5,0.708,2.3,7.0,3.6,1.6,0.8,2.2
524,Lonnie Walker IV,19.0,6.9,16.0,0.432,2.4,1.9,0.798,3.2,4.6,3.1,1.0,0.6,1.8
525,Cason Wallace,11.8,4.7,9.6,0.491,0.9,0.7,0.806,1.7,4.5,3.2,2.1,0.7,1.1
526,Keaton Wallace,13.4,5.1,12.0,0.423,1.4,1.2,0.875,2.0,4.4,5.4,1.8,0.7,2.3
527,Jordan Walsh,10.2,3.7,8.9,0.42,1.7,1.2,0.699,1.5,6.6,2.4,1.2,0.9,1.6
528,Ja'Kobe Walter,15.4,5.5,12.8,0.427,2.8,2.3,0.802,2.2,5.6,2.9,1.4,0.4,1.6
529,Kel'el Ware,15.7,6.7,11.9,0.557,1.9,1.3,0.715,1.0,11.7,1.8,1.0,1.7,1.5
530,P.J. Washington,16.2,6.0,13.3,0.449,3.2,2.3,0.718,2.0,7.6,2.6,1.2,1.1,2.0
531,TyTy Washington Jr.,13.8,5.3,13.3,0.396,2.3,1.6,0.691,1.6,5.1,4.2,1.2,0.3,1.5
