,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
272,Clint Capela,48,17.3,7.2,5.91,0.55,1.42,0.55,0.0,6.44,0.8,0.47,0.75,0.66
273,Kelly Olynyk,51,17.2,7.1,4.91,0.5,1.85,0.79,0.67,3.77,2.3,0.61,0.36,1.35
274,Marcus Sasser,66,17.2,8.0,6.15,0.47,1.2,0.88,1.09,1.45,2.84,0.7,0.11,1.16
275,Trayce Jackson-Davis,57,16.8,8.1,5.83,0.58,2.34,0.56,0.03,5.96,1.61,0.43,0.8,0.75
276,Jarred Vanderbilt,59,19.6,5.5,4.17,0.55,1.14,0.63,0.23,4.84,1.21,1.01,0.24,0.91
277,Gradey Dick,73,24.6,10.6,9.05,0.41,1.83,0.83,1.67,3.18,1.26,0.75,0.11,1.06
278,Jusuf Nurkić,44,16.2,8.1,6.28,0.51,2.07,0.64,0.41,5.8,2.24,0.64,0.55,1.52
279,Joan Beringer,58,14.2,3.6,2.6,0.58,1.03,0.58,0.0,3.62,0.4,0.61,1.15,0.46
280,Carter Bryant,68,21.8,5.1,4.71,0.4,0.71,0.69,0.85,4.32,0.93,0.91,0.71,1.1
281,Jaylon Tyson,62,19.3,8.4,6.99,0.46,1.26,0.8,0.98,3.73,1.81,0.6,0.16,0.97
282,Mason Plumlee,53,16.8,4.9,2.82,0.64,1.92,0.69,0.0,5.93,1.82,0.42,0.49,0.94
283,Tre Mann,47,22.4,10.1,8.94,0.44,1.34,0.81,1.28,2.79,2.99,0.75,0.14,1.68
284,Kevon Looney,69,15.8,4.0,3.15,0.5,1.19,0.67,0.04,5.94,1.45,0.55,0.48,0.41
285,Julian Champagnie,70,19.3,6.7,5.68,0.41,0.66,0.9,1.48,3.05,1.13,0.6,0.32,0.72
286,Cedric Coward,62,18.2,8.0,6.43,0.45,1.39,0.79,1.03,4.38,1.62,0.62,0.46,1.66
287,Jamal Shead,73,19.6,7.6,7.04,0.41,1.13,0.78,0.98,1.62,4.34,0.97,0.17,1.44
288,Ja'Kobe Walter,69,19.3,8.5,6.98,0.43,1.45,0.79,1.35,2.82,1.37,0.77,0.17,0.92
289,Luke Kennard,66,19.3,6.8,5.17,0.47,0.6,0.94,1.35,2.36,2.41,0.45,0.04,0.92
290,Egor Dëmin,64,27.5,10.6,10.17,0.39,1.63,0.71,1.51,4.18,5.3,1.03,0.36,3.07
291,Johnny Furphy,73,15.7,6.3,4.89,0.44,1.43,0.78,0.9,3.21,1.02,0.63,0.33,0.53
292,Marvin Bagley III,56,15.8,7.1,5.16,0.55,1.56,0.69,0.25,5.01,0.73,0.38,0.48,0.79
293,Collin Gillespie,70,14.2,5.6,4.62,0.42,0.72,0.85,1.08,1.96,2.6,0.69,0.11,0.62
294,Julian Strawther,65,19.3,8.7,6.81,0.45,1.36,0.83,1.47,1.99,1.2,0.48,0.2,0.79
295,Paul Reed,51,10.8,4.2,3.37,0.52,0.72,0.71,0.2,3.28,0.83,0.62,0.64,0.55
296,Max Christie,75,21.8,7.6,6.32,0.41,1.38,0.86,1.18,2.82,1.45,0.63,0.28,1.01
297,Kyle Anderson,49,14.1,5.6,4.71,0.5,1.01,0.75,0.2,2.75,2.36,0.47,0.46,0.65
298,Oso Ighodaro,42,17.7,5.4,4.03,0.61,0.94,0.59,0.01,3.3,1.57,0.49,0.53,0.65
299,Jalen Pickett,72,18.3,6.4,5.56,0.44,0.35,0.74,1.27,2.0,3.37,0.54,0.11,0.86
300,Drew Eubanks,58,13.8,4.6,3.34,0.59,0.93,0.72,0.03,4.07,0.9,0.26,0.74,0.67
301,Jordan Goodwin,68,16.2,5.2,4.75,0.42,0.64,0.77,0.7,3.01,2.43,0.79,0.31,0.97
302,Andre Drummond,61,16.7,6.1,4.96,0.49,1.84,0.65,0.08,7.06,0.59,0.73,0.5,1.14
303,Craig Porter Jr.,48,17.2,7.9,6.04,0.48,1.82,0.74,0.76,2.34,2.3,0.55,0.42,1.2
304,Kyle Kuzma,71,32.3,16.1,13.17,0.46,3.44,0.66,1.7,4.5,2.91,0.55,0.48,2.67
305,Nicolas Batum,60,17.8,3.9,3.17,0.41,0.22,0.82,1.09,2.92,1.07,0.54,0.43,0.43
306,Keon Johnson,61,18.3,8.3,7.3,0.41,1.44,0.78,1.28,2.33,1.59,0.81,0.31,1.16
