,PLAYER,G,MPG,PTS,FGA,FG%,FTA,FT%,3PM,REB,AST,STL,BLK,TO
406,Jeff Green,45,9.9,3.8,3.07,0.46,0.59,0.81,0.52,1.33,0.51,0.14,0.17,0.29
407,Xavier Tillman,41,11.8,3.9,3.83,0.39,0.89,0.58,0.42,2.56,0.81,0.61,0.31,0.79
408,Hugo González,71,16.2,4.7,4.29,0.36,1.15,0.78,0.66,2.46,1.39,0.41,0.28,1.28
409,Hunter Tyson,15,9.8,3.9,3.48,0.4,0.59,0.75,0.69,1.99,0.48,0.26,0.12,0.34
410,Jordan Miller,48,10.2,3.8,3.22,0.44,0.76,0.85,0.32,1.27,0.67,0.33,0.1,0.5
411,Rayan Rupert,46,12.2,4.8,4.25,0.44,0.75,0.79,0.49,1.81,0.61,0.3,0.07,0.67
412,Jamal Cain,15,9.1,3.3,2.63,0.44,0.76,0.74,0.43,1.36,0.36,0.37,0.13,0.37
413,Malaki Branham,15,11.1,4.3,3.55,0.46,0.53,0.85,0.65,1.11,0.88,0.21,0.05,0.68
414,Ousmane Dieng,29,9.1,3.3,2.92,0.43,0.39,0.75,0.52,1.7,0.7,0.26,0.11,0.43
415,Enrique Freeman,46,10.9,3.0,2.33,0.49,0.88,0.69,0.13,2.01,0.53,0.24,0.22,0.32
416,A.J. Lawson,48,10.1,4.7,3.84,0.44,0.95,0.68,0.61,1.52,0.55,0.28,0.11,0.35
417,Dwight Powell,18,7.9,1.6,0.9,0.68,0.5,0.65,0.01,1.63,0.68,0.26,0.22,0.31
418,Olivier-Maxence Prosper,31,9.9,3.8,3.0,0.46,1.24,0.66,0.22,1.83,0.7,0.37,0.11,0.24
419,Bronny James,55,11.2,3.7,3.55,0.37,0.69,0.74,0.54,1.14,1.19,0.49,0.13,0.64
420,Koby Brea,31,10.1,3.3,2.79,0.4,0.17,0.78,0.93,1.16,0.47,0.18,0.1,0.29
421,David Jones Garcia,15,9.2,4.0,3.52,0.41,0.65,0.75,0.59,1.33,0.45,0.39,0.13,0.55
422,Jamison Battle,46,8.9,3.1,2.61,0.42,0.12,0.91,0.8,1.39,0.37,0.14,0.08,0.24
423,Ben Saraf,46,17.3,6.1,6.14,0.37,1.2,0.72,0.58,1.97,2.16,0.63,0.14,1.44
424,Kam Jones,44,11.8,4.4,4.26,0.38,0.4,0.68,0.85,1.33,1.25,0.41,0.08,0.75
425,Jordan McLaughlin,43,8.1,1.9,1.65,0.39,0.28,0.77,0.42,0.74,1.44,0.35,0.07,0.38
426,Jett Howard,48,11.8,4.7,4.21,0.42,0.39,0.66,0.9,1.18,0.63,0.24,0.2,0.69
427,Jaden Springer,43,7.1,1.9,1.65,0.39,0.54,0.76,0.25,1.07,0.61,0.48,0.1,0.31
428,AJ Johnson,41,13.7,4.6,4.26,0.42,0.59,0.82,0.49,1.27,1.39,0.26,0.08,0.8
429,Kobe Brown,46,8.1,2.8,2.33,0.5,0.32,0.67,0.23,1.64,0.69,0.23,0.11,0.42
430,RayJ Dennis,15,9.2,3.1,2.92,0.37,0.44,0.75,0.61,1.12,1.54,0.33,0.07,0.58
431,Andre Jackson Jr.,28,9.1,2.0,1.71,0.49,0.21,0.53,0.19,1.75,0.76,0.35,0.13,0.52
432,Drake Powell,48,10.8,2.8,2.51,0.4,0.41,0.66,0.53,1.39,0.5,0.27,0.2,0.33
433,Keshad Johnson,17,7.9,2.7,2.08,0.51,0.57,0.64,0.2,1.8,0.38,0.23,0.17,0.32
434,Isaiah Livers,15,8.8,2.6,2.13,0.42,0.26,0.79,0.57,1.05,0.29,0.22,0.16,0.27
435,Ryan Nembhard,48,10.1,3.1,2.83,0.41,0.44,0.75,0.42,1.0,2.49,0.3,0.04,0.94
436,Drew Peterson,17,6.9,2.5,1.88,0.41,0.38,0.77,0.64,1.47,0.39,0.19,0.08,0.29
437,Chaz Lanier,34,10.1,3.6,3.17,0.4,0.41,0.79,0.76,1.2,0.48,0.25,0.08,0.46
438,E.J. Liddell,45,7.1,2.7,2.16,0.4,0.7,0.76,0.45,1.39,0.44,0.17,0.21,0.29
