,PLAYER,POS,TEAM,GP,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
258,Mitchell Robinson,C,NYK,71.0,20.2,5.1,0.644,0.515,0.0,6.4,0.7,0.9,1.2,0.6
259,Thomas Bryant,C,FA,46.0,11.6,5.1,0.559,0.825,0.5,3.1,0.5,0.3,0.4,0.4
260,Mouhamed Gueye,"PF,C",ATL,71.0,13.8,5.0,0.42,0.752,0.5,3.6,0.7,0.7,0.9,0.3
261,Jaxson Hayes,C,LAL,71.0,14.1,4.8,0.698,0.633,0.0,3.4,0.7,0.4,0.6,0.6
262,Jonathan Isaac,"C,PF,SF",ORL,73.0,13.5,4.8,0.441,0.688,0.5,3.8,0.5,0.8,1.0,0.4
263,Jaylin Williams,"PF,C",OKC,70.0,14.1,4.7,0.443,0.748,1.0,4.3,1.9,0.5,0.4,0.6
264,Dean Wade,"SF,PF",CLE,71.0,18.7,4.7,0.407,0.61,1.2,3.7,1.0,0.6,0.3,0.4
265,Luke Kornet,C,SAS,74.0,14.5,4.6,0.667,0.758,0.0,3.6,1.1,0.3,0.7,0.3
266,Jarred Vanderbilt,"C,PF",LAL,69.0,17.0,4.6,0.519,0.638,0.2,4.8,1.3,0.9,0.3,0.8
267,Jeremiah Robinson-Earl,"PF,C",FA,48.0,13.7,4.6,0.473,0.822,0.6,3.3,0.9,0.4,0.1,0.5
268,Drew Eubanks,C,SAC,71.0,13.2,4.3,0.596,0.694,0.0,3.7,0.8,0.3,0.7,0.6
269,Moussa Diabate,"PF,C",CHA,73.0,14.0,4.3,0.583,0.598,0.0,4.5,0.6,0.5,0.5,0.7
270,Kevon Looney,C,NOR,76.0,15.0,4.3,0.557,0.6,0.0,5.3,1.4,0.5,0.4,0.4
271,Steven Adams,C,HOU,67.0,13.4,4.0,0.57,0.438,0.0,5.4,1.1,0.4,0.4,0.9
272,Paul Reed,"C,PF",DET,47.0,10.7,3.8,0.53,0.743,0.1,3.1,0.8,0.6,0.5,0.6
273,Oso Ighodaro,"C,PF",PHO,69.0,15.1,3.6,0.607,0.58,0.0,3.2,1.0,0.4,0.4,0.6
274,Charles Bassey,C,FA,46.0,8.6,3.5,0.688,0.632,0.0,3.4,0.6,0.3,0.7,0.5
275,Maxi Kleber,"PF,C",LAL,69.0,17.6,3.1,0.424,0.733,0.5,2.5,1.2,0.3,0.5,0.6
