,PLAYER,POS,TEAM,ADP,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO,TOTAL
0,Nikola Jokic,C,DEN,2.4,74.0,35.7,28.8,10.9,18.9,0.579,6.0,4.9,0.808,2.1,12.7,10.3,1.6,0.8,3.2,17.74
1,Shai Gilgeous-Alexander,PG,OKC,4.5,74.0,34.1,32.1,11.1,21.0,0.527,8.8,7.8,0.886,2.1,5.3,6.3,1.7,1.0,2.3,16.12
2,Victor Wembanyama,C,SA,3.4,65.0,32.4,26.1,9.9,18.4,0.54,6.5,5.2,0.802,1.0,11.0,3.7,1.1,3.7,3.7,15.59
3,Giannis Antetokounmpo,"PF,C",MIL,6.2,70.0,34.7,31.5,12.0,19.8,0.607,10.8,6.8,0.633,0.7,11.8,6.8,0.9,1.1,3.4,11.5
4,Luka Doncic,"PG,SG",LAL,5.1,70.0,35.8,31.1,10.4,22.0,0.473,8.3,6.5,0.785,3.8,8.7,8.8,1.6,0.5,3.8,11.44
5,Anthony Davis,"PF,C",DAL,9.8,63.0,34.5,25.1,9.4,18.3,0.51,7.1,5.6,0.787,0.8,11.8,3.5,1.2,2.1,2.2,10.33
6,Tyrese Maxey,PG,PHI,18.0,65.0,37.6,28.1,9.8,22.0,0.444,6.0,5.2,0.87,3.3,3.8,6.6,1.5,0.5,2.3,8.59
7,Anthony Edwards,"PG,SG",MIN,7.9,69.0,36.1,28.3,9.3,20.6,0.449,6.7,5.6,0.837,4.1,5.9,5.1,1.3,0.6,3.3,8.56
8,James Harden,"PG,SG",LAC,15.5,75.0,34.8,20.6,6.2,14.6,0.425,6.2,5.4,0.874,2.8,5.5,8.5,1.3,0.8,3.6,8.32
9,Devin Booker,"PG,SG",PHO,11.7,72.0,36.6,26.5,9.1,19.2,0.476,6.6,5.9,0.89,2.4,4.3,7.6,0.9,0.3,2.8,8.16
10,Kevin Durant,"SF,PF",HOU,17.6,65.0,34.0,25.0,9.1,17.4,0.524,5.3,4.5,0.848,2.2,5.9,4.7,0.8,1.0,3.1,8.04
11,Stephen Curry,PG,GS,15.0,68.0,32.0,24.7,8.1,18.1,0.449,4.3,4.0,0.928,4.4,4.4,5.7,0.9,0.4,2.8,7.97
12,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Cade Cunningham,"PG,SG",DET,8.2,70.0,35.2,26.1,9.6,21.1,0.455,5.4,4.6,0.856,2.2,5.9,9.3,1.0,0.8,4.7,7.9
14,Karl-Anthony Towns,"PF,C",NY,11.4,69.0,32.8,22.1,8.0,15.4,0.516,5.0,4.2,0.846,2.0,12.2,2.2,0.9,0.8,2.6,7.52
15,LaMelo Ball,"PG,SG",CHA,27.9,50.0,32.2,25.3,8.6,20.9,0.413,4.9,4.2,0.849,3.8,6.1,7.8,1.3,0.3,3.7,6.86
16,Trae Young,PG,ATL,12.2,52.0,35.0,23.9,7.5,17.5,0.427,7.3,6.3,0.867,2.6,2.9,10.1,1.2,0.2,4.5,6.51
17,Domantas Sabonis,C,SAC,15.5,67.0,35.2,18.7,7.4,12.9,0.568,4.1,3.1,0.756,0.9,13.8,5.5,0.8,0.5,3.0,6.27
18,Donovan Mitchell,"PG,SG",CLE,18.8,72.0,31.8,24.5,8.4,18.7,0.449,5.2,4.4,0.843,3.3,4.6,5.3,1.4,0.4,2.3,6.23
19,Alperen Sengün,C,HOU,19.5,74.0,32.9,21.9,8.4,15.6,0.538,6.0,4.4,0.738,0.6,10.0,5.8,1.1,0.9,2.4,6.04
20,Evan Mobley,"PF,C",CLE,19.2,70.0,30.6,19.1,7.4,13.3,0.558,4.2,3.0,0.721,1.2,9.6,3.3,0.9,1.5,2.1,5.86
21,Derrick White,"PG,SG",BOS,33.7,74.0,33.2,17.8,6.3,14.2,0.444,2.1,1.8,0.868,3.4,5.0,5.6,1.0,1.1,1.6,5.83
22,LeBron James,"SF,PF",LAL,33.3,45.0,33.0,24.2,9.1,17.4,0.526,5.0,3.8,0.763,2.0,7.3,8.0,1.1,0.5,3.5,5.83
23,Jamal Murray,"PG,SG",DEN,37.3,68.0,34.8,21.5,8.0,16.9,0.474,3.5,3.1,0.873,2.4,4.1,6.0,1.2,0.6,2.2,5.7
24,Jimmy Butler,"SF,PF",GS,50.3,58.0,32.9,19.9,5.9,11.8,0.5,8.4,7.2,0.855,0.8,5.1,5.0,1.3,0.3,1.6,5.67
25,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Jalen Brunson,PG,NY,22.0,68.0,34.4,26.8,9.5,19.7,0.483,6.5,5.5,0.835,2.4,3.0,7.2,0.9,0.2,2.4,5.44
27,Scottie Barnes,"SG,SF,PF",TOR,26.7,69.0,33.9,19.8,7.5,16.2,0.459,4.5,3.4,0.766,1.4,8.1,6.0,1.4,1.2,2.8,5.32
28,De'Aaron Fox,"PG,SG",SA,40.5,68.0,35.2,23.9,8.7,18.7,0.466,5.2,4.2,0.796,2.3,4.6,5.9,1.6,0.4,2.7,5.23
29,Josh Giddey,"PG,SG",CHI,28.9,72.0,31.1,16.4,6.3,13.4,0.47,2.8,2.2,0.785,1.5,8.0,7.6,1.2,0.7,3.0,4.78
30,Jalen Johnson,"SF,PF",ATL,25.6,65.0,34.7,17.4,7.0,13.7,0.507,3.0,2.2,0.735,1.3,9.4,4.2,1.4,0.9,2.3,4.74
31,Jaren Jackson Jr.,"PF,C",MEM,37.6,65.0,30.0,20.6,7.0,14.5,0.483,5.9,4.7,0.796,1.9,5.7,2.2,1.0,1.6,2.3,4.74
32,Franz Wagner,"SF,PF",ORL,35.4,68.0,33.1,22.6,8.4,17.8,0.472,5.0,4.3,0.861,1.6,5.7,4.5,1.2,0.4,2.2,4.64
33,Chet Holmgren,"PF,C",OKC,26.1,62.0,30.4,17.4,6.3,12.8,0.491,4.1,3.1,0.771,1.7,9.4,2.6,0.7,1.6,1.8,4.64
34,Kawhi Leonard,"SF,PF",LAC,47.7,52.0,31.1,20.3,7.9,16.0,0.494,3.2,2.6,0.813,1.9,5.5,3.1,1.5,0.7,1.7,4.49
35,Walker Kessler,C,UTA,57.3,65.0,30.2,11.7,4.4,6.8,0.656,3.0,2.1,0.695,0.7,10.2,1.3,0.5,2.4,1.7,4.19
36,Jaylen Brown,"SG,SF",BOS,29.2,68.0,33.9,27.4,10.8,23.0,0.468,4.9,3.7,0.75,2.2,7.2,4.7,1.2,0.4,2.6,4.06
37,Bam Adebayo,"PF,C",MIA,32.3,74.0,33.2,20.0,7.4,15.5,0.476,4.7,3.9,0.818,1.3,9.8,3.3,1.0,0.6,2.1,4.0
38,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Trey Murphy III,"SF,PF",NO,42.9,65.0,34.3,20.8,7.4,16.8,0.441,3.5,3.0,0.858,3.0,5.1,3.8,1.1,0.6,2.1,3.89
40,Jalen Williams,"SF,PF",OKC,25.0,60.0,32.0,20.6,7.8,16.3,0.477,4.3,3.4,0.788,1.7,4.9,4.9,1.4,0.7,2.0,3.84
41,Austin Reaves,"PG,SG",LAL,44.2,72.0,33.5,18.4,6.2,13.2,0.469,4.2,3.7,0.865,2.3,4.5,5.8,1.0,0.3,2.5,3.79
42,Darius Garland,PG,CLE,67.7,61.0,31.4,19.7,7.0,15.2,0.461,3.3,2.8,0.858,2.9,2.8,6.6,1.3,0.1,2.8,3.77
43,Tyler Herro,"PG,SG",MIA,71.4,58.0,33.2,22.0,7.9,17.1,0.461,3.6,3.1,0.866,3.1,5.0,5.0,0.8,0.2,2.4,3.68
44,Pascal Siakam,"PF,C",IND,30.6,76.0,32.9,24.4,9.3,18.9,0.491,5.5,4.0,0.727,1.9,9.0,4.7,0.9,0.4,1.6,3.61
45,Kristaps Porzingis,"PF,C",ATL,53.5,49.0,29.2,18.9,6.5,13.4,0.483,4.7,3.8,0.817,2.2,6.8,2.1,0.7,1.5,1.7,3.49
46,Ja Morant,PG,MEM,45.9,57.0,32.9,24.2,8.5,18.8,0.451,6.9,5.6,0.81,1.6,4.6,7.6,1.1,0.3,3.8,3.4
47,Desmond Bane,"SG,SF",ORL,44.5,70.0,32.0,18.7,6.9,14.4,0.475,2.9,2.5,0.872,2.5,4.8,4.0,1.0,0.4,2.3,3.2
48,Kyshawn George,"SG,SF",WAS,138.7,70.0,31.5,17.0,6.3,14.3,0.441,2.5,2.0,0.787,2.4,6.0,3.5,1.3,1.0,2.0,3.12
49,DeMar DeRozan,SF,SAC,64.3,74.0,34.9,21.5,7.6,15.9,0.478,6.3,5.4,0.855,0.9,3.8,4.3,0.9,0.5,1.4,3.03
50,Cooper Flagg,SF,DAL,41.9,70.0,31.4,16.9,6.1,13.0,0.468,4.2,3.5,0.836,1.2,5.3,3.8,1.2,0.8,1.8,2.96
51,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Dyson Daniels,"PG,SG,SF",ATL,37.1,74.0,32.0,12.1,5.0,11.0,0.457,1.6,1.0,0.64,1.0,5.5,5.2,2.4,0.7,1.8,2.87
53,Zach LaVine,"PG,SG",SAC,61.8,69.0,34.0,21.9,7.9,15.8,0.497,3.8,3.2,0.833,3.0,3.4,3.5,0.8,0.2,2.6,2.85
54,Ivica Zubac,C,LAC,39.8,74.0,29.6,14.4,6.3,9.9,0.636,2.7,1.9,0.688,0.0,11.1,2.1,0.5,1.2,1.4,2.75
55,Donovan Clingan,C,POR,84.8,70.0,27.8,10.8,4.2,7.2,0.583,2.2,1.4,0.647,1.0,10.2,1.6,0.7,1.8,1.5,2.71
56,Michael Porter Jr.,"SF,PF",BKN,71.4,79.0,32.7,20.3,7.5,16.0,0.473,2.7,2.2,0.788,3.1,8.1,2.0,0.6,0.6,2.0,2.69
57,OG Anunoby,"SF,PF",NY,65.4,68.0,34.3,16.6,6.2,12.9,0.48,2.5,2.0,0.794,2.2,4.5,2.2,1.4,0.8,1.5,2.67
58,Deni Avdija,"SF,PF",POR,50.7,73.0,30.1,18.1,6.2,13.0,0.478,5.1,4.0,0.777,1.7,7.9,4.4,1.0,0.6,2.8,2.64
59,Nikola Vucevic,C,CHI,51.6,74.0,30.0,16.9,7.0,13.9,0.505,1.7,1.4,0.809,1.4,9.5,2.5,0.7,0.7,1.5,2.61
60,Jalen Duren,C,DET,55.6,72.0,27.6,12.9,5.3,8.1,0.655,3.1,2.2,0.722,0.0,11.1,2.6,0.6,1.0,1.9,2.57
61,Coby White,"PG,SG",CHI,59.8,58.0,33.8,19.7,6.5,14.5,0.45,4.2,3.6,0.872,3.0,3.9,4.4,0.8,0.2,2.1,2.52
62,Alexandre Sarr,C,WAS,83.4,70.0,29.4,15.3,6.2,13.2,0.469,2.6,1.9,0.725,1.1,7.5,3.0,0.7,2.0,1.9,2.52
63,Lauri Markkanen,"SF,PF",UTA,55.2,49.0,31.0,19.6,6.5,14.3,0.453,4.3,3.8,0.887,2.9,6.4,1.7,0.8,0.4,1.3,2.5
64,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Amen Thompson,"PG,SG,SF",HOU,21.2,72.0,32.3,13.2,5.1,10.1,0.51,3.5,2.4,0.688,0.5,7.4,5.0,1.5,1.2,1.9,2.49
66,Mark Williams,C,PHO,83.3,49.0,26.7,14.1,5.7,9.4,0.611,3.5,2.7,0.763,0.0,9.9,2.0,0.8,1.2,1.4,2.46
67,Myles Turner,C,MIL,46.1,72.0,29.6,14.1,5.6,11.9,0.47,1.8,1.4,0.779,1.5,6.7,1.5,0.7,2.0,1.6,2.34
68,Paolo Banchero,"PF,C",ORL,28.4,63.0,34.7,25.8,9.0,20.3,0.445,8.0,6.2,0.773,1.5,8.1,4.0,0.8,0.9,2.7,2.34
69,Deandre Ayton,C,LAL,66.5,67.0,31.3,14.2,6.6,11.5,0.569,1.3,1.0,0.767,0.1,9.4,1.9,0.8,1.0,1.6,2.33
70,Joel Embiid,C,PHI,50.5,37.0,28.8,20.9,7.0,15.6,0.447,7.0,6.0,0.862,0.9,7.6,3.8,0.5,0.7,3.0,2.32
71,Payton Pritchard,PG,BOS,67.1,76.0,30.3,15.5,5.6,12.1,0.466,1.1,0.9,0.829,3.4,4.2,5.7,0.8,0.2,1.1,2.26
72,Zion Williamson,"SF,PF",NO,42.1,49.0,30.1,24.2,9.1,17.5,0.518,9.0,6.0,0.669,0.1,8.3,5.1,1.2,0.6,2.8,2.14
73,Jordan Poole,"PG,SG",NO,71.3,72.0,30.9,19.2,6.6,15.6,0.422,3.4,3.0,0.881,2.9,2.9,4.5,1.2,0.4,2.7,2.13
74,Jrue Holiday,"PG,SG",POR,110.2,60.0,30.7,12.9,4.9,10.9,0.449,1.2,1.1,0.879,2.1,5.1,5.1,1.1,0.7,1.7,2.04
75,Kyrie Irving,PG,DAL,130.6,17.0,28.5,20.0,7.4,15.6,0.472,3.2,2.9,0.901,2.4,4.0,4.0,1.0,0.3,1.9,2.02
76,John Collins,"PF,C",LAC,93.0,70.0,29.2,15.6,5.9,11.2,0.528,3.1,2.5,0.82,1.3,7.7,1.4,0.7,0.9,1.8,1.97
77,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Jarrett Allen,C,CLE,55.5,78.0,28.2,13.0,5.2,8.0,0.652,3.5,2.5,0.734,0.0,9.3,2.2,0.8,0.9,1.3,1.92
79,Miles Bridges,"SF,PF",CHA,61.4,66.0,31.4,18.9,7.1,15.8,0.447,3.2,2.7,0.85,2.1,6.8,3.3,0.8,0.5,1.9,1.78
80,Isaiah Hartenstein,C,OKC,78.2,66.0,26.6,9.4,4.0,6.4,0.617,2.1,1.5,0.692,0.0,9.9,3.1,0.9,1.1,1.5,1.7
81,Donte DiVincenzo,"PG,SG",MIN,123.6,70.0,30.5,15.2,5.3,12.2,0.435,1.4,1.0,0.77,3.5,4.0,3.4,1.4,0.4,1.6,1.69
82,Cameron Johnson,"SF,PF",DEN,90.1,65.0,30.6,15.5,5.2,11.2,0.47,2.6,2.2,0.854,2.8,4.0,2.5,1.1,0.4,1.3,1.68
83,Paul George,"SG,SF,PF",PHI,81.2,44.0,31.0,16.8,6.0,13.5,0.446,2.9,2.5,0.847,2.3,4.4,3.2,1.4,0.4,1.9,1.61
84,VJ Edgecombe,SG,PHI,137.6,70.0,32.4,17.6,6.6,14.8,0.446,3.1,2.5,0.804,1.9,4.8,3.5,1.4,0.5,1.5,1.58
85,Jayson Tatum,"SF,PF",BOS,132.4,10.0,26.1,19.6,6.7,14.5,0.461,4.7,3.9,0.823,2.4,6.1,4.0,0.8,0.4,2.0,1.51
86,Tobias Harris,PF,DET,118.2,71.0,32.2,14.8,5.7,11.9,0.478,2.5,2.2,0.87,1.2,5.9,2.5,1.0,0.7,1.2,1.47
87,Onyeka Okongwu,C,ATL,94.1,70.0,26.7,12.0,4.8,8.2,0.582,2.6,2.0,0.771,0.6,8.1,1.9,0.7,1.0,1.1,1.42
88,Toumani Camara,"SF,PF",POR,108.2,74.0,33.0,12.2,4.5,9.8,0.455,1.9,1.4,0.738,1.9,6.4,2.5,1.5,0.7,1.6,1.28
89,Immanuel Quickley,"PG,SG",TOR,74.7,65.0,30.4,16.8,5.4,12.5,0.433,3.9,3.3,0.856,2.7,3.4,5.5,0.8,0.2,1.7,1.24
90,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Jalen Green,"PG,SG",PHO,76.2,78.0,32.3,22.2,7.8,18.5,0.423,4.6,3.7,0.808,2.9,5.3,3.8,0.9,0.4,2.6,1.22
92,Ausar Thompson,"SF,PF",DET,79.5,67.0,30.0,12.3,5.1,9.8,0.522,2.7,1.8,0.649,0.3,7.1,2.6,1.7,1.0,1.6,1.2
93,Zach Edey,C,MEM,117.8,56.0,27.2,11.3,4.6,8.2,0.557,2.5,1.8,0.711,0.4,10.2,1.3,0.7,1.4,1.7,1.16
94,Herbert Jones,"SF,PF",NO,119.9,69.0,31.5,10.5,3.7,8.1,0.453,2.1,1.8,0.858,1.3,4.0,3.2,1.6,0.6,1.4,1.15
95,Josh Minott,"SF,PF",BOS,0.0,60.0,30.4,12.5,4.5,9.3,0.484,2.4,2.2,0.892,1.3,5.1,1.9,1.5,0.3,1.0,1.13
96,Draymond Green,"PF,C",GS,105.2,66.0,28.1,8.9,3.3,7.2,0.456,1.8,1.3,0.702,1.1,6.6,5.8,1.3,1.0,2.5,1.13
97,Julius Randle,"PF,C",MIN,64.6,70.0,33.8,18.9,6.6,13.8,0.477,5.2,4.1,0.795,1.7,7.4,4.8,0.6,0.2,2.9,1.11
98,Cam Thomas,"SG,SF",BKN,83.9,60.0,31.3,23.1,8.1,18.3,0.441,5.4,4.7,0.865,2.4,3.3,3.2,0.7,0.2,2.1,1.05
99,Mikal Bridges,"SF,PF",NY,77.6,80.0,35.2,17.1,6.7,14.0,0.481,1.7,1.4,0.829,2.2,3.7,3.5,0.9,0.4,1.7,1.05
100,Brandon Ingram,"SG,SF,PF",TOR,66.6,50.0,33.0,18.8,6.9,14.7,0.471,3.9,3.2,0.81,1.8,4.6,4.2,0.7,0.6,2.5,1.03
101,Nicolas Claxton,C,BKN,103.3,70.0,27.3,10.8,4.7,7.9,0.596,2.4,1.3,0.535,0.0,8.4,2.1,0.7,1.7,1.2,1.02
102,Andrew Wiggins,"SG,SF",MIA,108.5,68.0,30.9,18.6,6.7,14.8,0.451,4.1,3.1,0.757,2.2,5.4,3.1,0.9,0.8,1.7,1.01
103,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Aaron Nesmith,SF,IND,135.6,68.0,30.0,13.8,4.9,9.9,0.5,2.1,1.8,0.829,2.2,4.4,1.6,1.0,0.6,1.0,0.95
105,Dereck Lively II,C,DAL,106.8,65.0,25.3,10.1,4.3,6.2,0.7,2.2,1.4,0.635,0.0,7.8,1.7,0.7,1.5,1.1,0.9
106,Christian Braun,"SG,SF",DEN,88.1,74.0,33.9,14.8,5.7,11.1,0.511,2.8,2.3,0.817,1.1,4.3,2.5,1.1,0.6,1.1,0.88
107,Matas Buzelis,"SF,PF",CHI,83.1,78.0,28.7,14.1,5.2,11.3,0.461,2.2,1.8,0.819,1.9,5.6,1.7,0.6,1.3,1.5,0.78
108,Kel'el Ware,"PF,C",MIA,85.3,69.0,27.0,11.4,5.0,8.9,0.559,1.3,0.9,0.688,0.7,8.6,1.1,0.7,1.1,1.1,0.74
109,Brandon Miller,"SF,PF",CHA,50.5,50.0,32.8,18.1,6.6,15.4,0.428,2.5,2.1,0.837,2.8,4.4,2.7,0.9,0.6,2.0,0.69
110,Kon Knueppel,SF,CHA,143.0,70.0,29.7,13.2,4.5,9.7,0.461,2.7,2.4,0.861,1.9,4.1,2.8,1.2,0.4,1.2,0.66
111,Rudy Gobert,C,MIN,67.0,74.0,30.6,11.2,4.3,6.5,0.664,3.8,2.5,0.654,0.0,9.5,1.3,0.6,1.4,1.2,0.5
112,Keyonte George,"PG,SG",UTA,116.2,70.0,32.2,17.5,6.0,13.9,0.43,4.2,3.5,0.829,2.1,3.8,7.3,0.7,0.1,3.1,0.42
113,Neemias Queta,"PF,C",BOS,139.6,68.0,25.2,9.4,4.0,6.4,0.625,1.9,1.4,0.741,0.0,7.6,1.4,0.7,1.3,1.1,0.4
114,Nickeil Alexander-Walker,"SG,SF",ATL,137.0,78.0,30.4,12.2,4.3,10.0,0.431,1.8,1.5,0.837,2.1,3.4,3.3,1.3,0.6,1.4,0.39
115,Ryan Rollins,PG,MIL,0.0,60.0,27.3,12.8,4.7,10.0,0.475,2.0,1.6,0.782,1.7,3.9,4.5,1.3,0.3,2.1,0.38
116,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Tari Eason,"SF,PF",HOU,113.0,58.0,25.4,11.8,4.7,9.9,0.473,1.9,1.4,0.73,1.1,7.0,1.5,1.4,0.9,1.2,0.36
118,CJ McCollum,"PG,SG",WAS,100.6,60.0,30.3,17.6,6.7,14.9,0.447,2.3,1.7,0.767,2.5,3.6,4.9,0.8,0.5,1.6,0.34
119,P.J. Washington,"SF,PF",DAL,134.3,65.0,30.5,14.5,5.4,11.6,0.467,2.7,1.9,0.703,1.8,6.7,2.1,1.1,0.9,1.7,0.32
120,Jaden McDaniels,"SF,PF",MIN,116.7,76.0,31.6,12.4,5.0,10.3,0.482,1.5,1.1,0.781,1.3,5.3,1.9,1.2,0.8,1.3,0.32
121,Devin Vassell,"SG,SF",SA,97.8,66.0,31.0,16.4,6.2,13.5,0.458,2.2,1.8,0.798,2.3,3.6,3.2,1.1,0.4,1.4,0.29
122,Bennedict Mathurin,"SG,SF",IND,92.3,59.0,32.0,18.4,6.2,13.7,0.453,5.0,4.2,0.829,1.9,5.6,2.3,0.8,0.3,2.1,0.23
123,Dejounte Murray,"PG,SG",NO,135.6,31.0,28.2,16.1,6.1,14.1,0.435,2.8,2.2,0.802,1.6,4.4,5.3,1.3,0.3,2.2,0.23
124,Dylan Harper,SG,SA,137.9,65.0,27.7,14.4,5.0,10.7,0.469,3.7,3.0,0.806,1.4,3.2,4.1,1.2,0.4,1.8,0.19
125,Anfernee Simons,"PG,SG",BOS,86.3,68.0,31.1,17.7,6.1,13.8,0.441,2.6,2.4,0.908,3.2,2.5,3.9,0.6,0.1,1.9,0.18
126,Jalen Suggs,PG,ORL,103.3,65.0,26.8,13.1,4.6,10.4,0.446,2.3,1.9,0.813,2.0,3.2,3.1,1.3,0.7,2.0,0.18
127,Malik Monk,SG,SAC,128.9,68.0,28.8,15.5,5.6,12.7,0.442,2.7,2.3,0.846,2.0,3.2,5.1,0.7,0.5,2.2,0.18
128,Keegan Murray,"SF,PF",SAC,115.0,59.0,34.0,13.2,5.0,11.2,0.449,1.2,1.0,0.843,2.1,5.8,1.5,0.9,0.8,0.8,0.18
129,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,T.J. McConnell,PG,IND,137.3,54.0,22.1,11.9,5.4,10.0,0.537,1.2,0.9,0.757,0.3,3.2,6.1,1.3,0.2,1.8,0.09
131,Naz Reid,"PF,C",MIN,93.5,80.0,26.2,13.8,5.1,11.0,0.465,1.8,1.4,0.754,2.2,5.7,1.8,0.8,0.9,1.4,0.07
132,Daniel Gafford,C,DAL,137.3,60.0,22.0,10.1,4.2,6.2,0.677,2.5,1.7,0.684,0.0,6.6,1.3,0.6,1.5,0.9,0.06
133,Tre Jones,"PG,SG",CHI,141.2,61.0,26.2,9.9,3.9,7.6,0.514,1.7,1.4,0.844,0.7,3.7,6.6,1.0,0.2,1.4,0.01
134,Reed Sheppard,"PG,SG",HOU,112.7,68.0,27.6,10.5,3.7,8.8,0.42,1.4,1.2,0.821,1.9,2.8,4.4,1.3,0.6,1.3,-0.08
135,Collin Sexton,"PG,SG",CHA,139.3,70.0,27.3,17.2,6.1,12.5,0.484,4.1,3.5,0.861,1.6,2.5,3.7,0.7,0.2,2.1,-0.18
136,Kevin Porter Jr.,"PG,SG",MIL,109.9,75.0,29.8,14.2,5.4,12.0,0.449,3.1,2.4,0.772,1.0,5.1,4.7,1.5,0.2,2.5,-0.21
137,Cason Wallace,"PG,SG",OKC,124.4,72.0,28.5,9.1,3.6,7.5,0.482,0.6,0.5,0.8,1.4,3.4,2.4,1.6,0.6,0.8,-0.21
138,Norman Powell,"SG,SF",MIA,88.6,68.0,30.3,17.7,6.2,12.9,0.48,3.3,2.7,0.812,2.6,2.9,1.6,0.9,0.2,1.3,-0.25
139,Andrew Nembhard,"PG,SG",IND,73.6,69.0,30.9,12.3,4.6,10.0,0.464,2.3,1.9,0.797,1.2,3.1,5.8,1.3,0.2,1.9,-0.25
140,Shaedon Sharpe,"SG,SF",POR,87.4,70.0,32.2,18.6,6.8,15.1,0.447,3.6,2.8,0.797,2.2,4.8,3.1,0.9,0.3,2.2,-0.32
141,Brandin Podziemski,"PG,SG",GS,121.5,70.0,30.3,12.4,4.7,10.4,0.45,1.5,1.0,0.696,2.0,5.8,4.0,1.2,0.2,1.4,-0.34
142,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Ayo Dosunmu,"SG,SF",CHI,140.2,65.0,30.4,12.7,5.0,9.9,0.498,1.6,1.3,0.796,1.5,3.2,3.8,1.0,0.5,1.5,-0.36
144,Bobby Portis,"PF,C",MIL,118.1,65.0,23.9,13.5,5.5,11.3,0.491,1.5,1.2,0.81,1.2,7.6,1.6,0.8,0.4,1.1,-0.41
145,Kelly Oubre Jr.,"SF,PF",PHI,142.4,64.0,32.4,15.5,5.8,12.8,0.454,3.3,2.5,0.752,1.4,5.6,1.7,1.3,0.6,1.3,-0.45
146,Robert Williams III,C,POR,0.0,30.0,17.6,5.9,2.5,3.9,0.644,1.0,0.8,0.847,0.0,5.9,1.0,0.8,1.5,0.9,-0.46
147,Obi Toppin,PF,IND,140.9,60.0,25.3,13.1,5.1,10.0,0.509,1.7,1.3,0.778,1.7,5.0,2.0,0.7,0.6,1.1,-0.61
148,Bilal Coulibaly,"SG,SF",WAS,143.9,62.0,33.1,12.7,4.6,10.7,0.433,3.1,2.2,0.728,1.2,5.3,3.6,1.3,0.8,2.0,-0.66
149,Jaden Ivey,"PG,SG",DET,115.9,47.0,29.4,18.0,6.2,14.0,0.445,4.3,3.2,0.745,2.4,4.0,4.3,0.9,0.5,2.9,-0.69
150,Jabari Smith Jr.,"PF,C",HOU,121.2,67.0,29.8,12.7,4.6,10.2,0.448,2.3,1.9,0.815,1.7,7.4,1.3,0.6,0.7,1.1,-0.8
151,Grayson Allen,"SG,SF",PHO,140.4,60.0,26.4,11.8,3.9,8.8,0.442,1.8,1.6,0.852,2.5,3.4,2.5,0.9,0.5,1.2,-0.82
152,Josh Hart,"SG,SF,PF",NY,71.4,76.0,28.5,9.1,3.5,7.3,0.479,1.6,1.3,0.783,0.8,7.1,4.0,1.0,0.3,1.4,-0.82
153,D'Angelo Russell,PG,DAL,114.7,67.0,27.1,13.6,4.9,11.3,0.431,2.2,1.9,0.83,2.0,2.6,5.1,0.8,0.4,1.8,-0.85
154,Khris Middleton,"SF,PF",WAS,141.5,40.0,27.0,13.8,5.2,11.0,0.473,2.3,1.9,0.843,1.4,3.9,4.2,0.9,0.2,1.7,-0.87
155,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Aaron Gordon,"PF,C",DEN,113.5,62.0,29.8,14.2,5.3,9.8,0.546,3.6,2.6,0.719,0.9,5.8,3.4,0.6,0.5,1.4,-1.04
157,Jerami Grant,"SF,PF",POR,140.9,50.0,30.0,14.7,4.9,10.8,0.449,3.9,3.2,0.83,1.8,3.4,2.1,0.7,0.7,1.5,-1.06
