,PLAYER,POS,TEAM,ADP,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO,TOTAL
467,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Cody Williams,"SG,SF",UTA,0.0,60.0,19.2,4.2,1.5,4.7,0.323,0.7,0.5,0.726,0.6,2.1,1.1,0.4,0.3,0.8,-9.13
469,Branden Carlson,,OKC,0.0,32.0,7.7,3.9,1.4,3.1,0.444,0.6,0.4,0.772,0.7,1.7,0.4,0.2,0.7,0.2,-9.14
470,Baylor Scheierman,SF,BOS,0.0,31.0,14.4,4.3,1.5,4.2,0.355,0.5,0.3,0.756,1.0,2.5,1.3,0.6,0.1,0.5,-9.17
471,Jordan Walsh,"SG,SF",BOS,0.0,60.0,13.5,7.5,3.0,8.0,0.376,1.2,0.7,0.581,0.8,2.5,0.7,0.5,0.3,0.6,-9.34
472,Chuma Okeke,PF,FA,0.0,28.0,15.5,4.0,1.5,3.8,0.396,0.3,0.2,0.6,0.9,3.2,0.9,0.4,0.3,0.5,-9.4
473,Malachi Flynn,PG,FA,0.0,36.0,11.8,5.1,1.8,4.4,0.418,1.0,0.7,0.74,0.7,1.6,1.8,0.5,0.1,0.9,-9.44
474,Justin Edwards,SF,PHI,0.0,20.0,17.6,6.2,2.4,5.3,0.456,0.7,0.5,0.692,1.0,2.1,1.0,0.6,0.2,0.7,-9.46
475,Duop Reath,C,POR,0.0,40.0,10.0,4.9,1.8,4.0,0.451,0.7,0.5,0.768,0.7,2.1,0.6,0.3,0.3,0.4,-9.53
476,Jabari Walker,"PF,C",PHI,0.0,46.0,12.1,4.7,1.8,3.7,0.478,1.2,0.9,0.736,0.3,3.6,0.5,0.4,0.1,0.5,-9.55
477,Danny Wolf,PF,BKN,0.0,45.0,15.4,5.0,1.9,4.0,0.477,1.4,0.8,0.584,0.4,3.7,1.4,0.3,0.5,1.2,-9.61
478,David Roddy,SF,FA,0.0,49.0,15.3,5.6,2.2,5.2,0.415,0.9,0.7,0.707,0.7,2.9,1.1,0.4,0.2,0.8,-9.67
479,Anthony Gill,PF,WAS,0.0,50.0,8.6,3.2,1.2,2.5,0.478,0.9,0.6,0.721,0.2,1.6,0.5,0.2,0.1,0.3,-9.68
480,PLAYER,POS,TEAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Gui Santos,"SF,PF",GS,0.0,39.0,11.0,3.6,1.3,2.7,0.469,0.7,0.5,0.754,0.5,2.6,1.1,0.3,0.1,0.6,-9.69
482,Nigel Hayes,,PHO,0.0,30.0,12.2,2.8,1.3,3.0,0.433,0.0,0.0,0.0,0.3,2.3,0.5,0.8,0.0,0.3,-9.7
483,Jericho Sims,C,MIL,0.0,49.0,12.5,2.0,0.9,1.3,0.656,0.4,0.3,0.658,0.0,3.6,0.6,0.2,0.4,0.5,-9.74
484,Johni Broome,C,PHI,0.0,30.0,12.4,5.7,2.2,4.5,0.493,1.7,1.0,0.587,0.2,3.3,0.9,0.3,0.6,0.5,-9.75
485,Lindy Waters III,"SG,SF",SA,0.0,45.0,11.2,4.2,1.5,3.8,0.401,0.1,0.1,0.786,1.1,1.6,0.8,0.3,0.2,0.3,-9.76
486,Thomas Sorber,C,OKC,0.0,40.0,10.4,3.6,1.4,2.7,0.515,1.1,0.8,0.712,0.1,2.1,0.6,0.4,0.5,0.6,-9.77
487,Bojan Bogdanovic,"SF,PF",FA,0.0,30.0,13.9,7.1,2.5,5.6,0.453,1.2,1.0,0.787,1.1,1.3,0.8,0.3,0.0,0.8,-9.79
