PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Day'Ron Sharpe,23.0,16.0,7.0,2.5,4.3,0.592,2.7,1.7,0.619,0.2,5.4,1.8,0.8,0.6,1.8
Jevon Carter,14.0,14.3,6.9,2.2,5.4,0.408,0.7,0.7,1.0,1.7,1.4,1.2,0.8,0.0,0.6
Sam Hauser,25.0,22.3,6.9,2.4,6.8,0.345,0.2,0.1,0.75,2.0,3.5,1.4,0.6,0.3,0.5
Sion James,25.0,26.1,6.9,2.2,5.1,0.422,1.6,1.4,0.85,1.2,3.1,1.5,0.7,0.4,1.0
Tristan Vukcevic,20.0,11.9,6.9,2.3,4.9,0.474,2.3,1.9,0.804,0.5,2.4,1.1,0.4,0.5,1.2
Bruce Brown,24.0,23.6,6.8,2.5,5.9,0.423,1.5,1.2,0.806,0.5,3.7,2.0,0.8,0.3,1.0
Nae'Qwan Tomlin,17.0,16.6,6.8,2.6,5.5,0.479,1.5,1.1,0.731,0.4,3.4,0.6,0.9,0.8,0.4
Javonte Green,25.0,18.6,6.7,2.2,5.2,0.427,1.7,1.3,0.786,0.9,2.6,0.8,1.0,0.4,0.8
Josh Okogie,22.0,20.9,6.6,2.2,5.0,0.45,1.5,1.1,0.727,1.0,2.9,1.0,1.4,0.2,0.8
Walter Clayton,20.0,16.7,6.5,2.3,5.3,0.425,1.2,1.2,0.958,0.9,2.2,3.6,0.5,0.2,1.4
Kevin Love,15.0,15.0,6.5,2.1,4.9,0.438,1.2,0.9,0.778,1.3,4.5,1.7,0.3,0.3,0.7
Paul Reed,19.0,11.6,6.5,2.8,4.3,0.646,1.1,0.6,0.6,0.3,4.5,1.2,0.8,0.7,1.1
Kobe Sanders,17.0,19.4,6.5,2.1,5.1,0.414,1.4,1.3,0.917,0.9,1.9,1.3,0.6,0.1,1.4
Ben Sheppard,22.0,25.0,6.5,2.4,6.7,0.354,0.9,0.7,0.789,1.1,4.1,2.0,0.6,0.1,0.7
Steven Adams,18.0,21.6,6.4,2.3,4.4,0.532,2.3,1.8,0.762,0.0,9.1,1.6,0.8,0.7,1.1
