INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10082.0,tobias harris,4.0,31.8,11.8,7.0,3.3,0.8,0.3,1.5,0.37,1.0,1.0,3.349928048918687,75
10056.0,jalen duren,4.0,20.3,13.3,9.3,1.0,0.8,1.8,0.0,0.576,0.789,2.5,3.322249066042974,76
10008.0,anthony edwards,3.0,25.7,25.7,4.0,2.0,0.0,0.7,3.0,0.519,0.824,2.0,3.31917734980606,77
10451.0,svi mykhailiuk,3.0,28.3,9.7,2.7,2.0,1.7,0.0,2.3,0.526,1.0,1.0,3.3146778525869083,78
10072.0,jordan poole,3.0,35.7,20.0,2.0,3.7,0.3,0.3,3.0,0.396,1.0,1.3,3.2925841264703752,79
10047.0,zach lavine,3.0,37.3,31.0,2.7,0.7,0.0,0.3,3.3,0.53,0.929,1.7,3.2259573950514975,80
10034.0,franz wagner,4.0,35.3,22.5,5.3,3.3,1.3,0.3,1.3,0.557,0.739,2.3,3.1935026957431796,81
10529.0,sion james,3.0,18.7,8.3,2.0,2.0,0.7,0.7,1.7,0.6,1.0,0.3,3.1543226265334727,82
10142.0,jabari smith,3.0,35.3,12.7,5.0,0.7,1.3,0.3,2.0,0.389,1.0,0.7,3.1280027368556573,83
10202.0,kevin huerter,3.0,25.7,13.7,4.0,2.7,0.7,1.0,1.0,0.483,0.909,1.0,3.1153121094532685,84
10191.0,miles mcbride,2.0,29.0,12.5,3.0,2.5,1.0,0.5,3.0,0.389,0.833,1.0,3.093508139644005,85
10029.0,jaren jackson,4.0,25.5,17.5,5.0,0.8,0.5,1.8,1.0,0.5,0.9,2.3,3.033366799719619,86
10071.0,payton pritchard,4.0,34.5,15.8,5.8,5.0,1.0,0.0,1.5,0.418,0.786,1.3,2.9844586907822848,87
10246.0,isaiah stewart,4.0,22.3,9.3,7.3,1.5,0.5,2.0,1.5,0.394,0.5,1.0,2.908099372839777,88
10206.0,matisse thybulle,3.0,14.7,5.7,1.3,0.7,2.7,0.0,1.0,0.556,1.0,0.3,2.8552591684003032,89
10176.0,brook lopez,3.0,16.0,8.7,4.3,0.3,0.3,1.7,2.7,0.409,,1.0,2.7047412021313524,90
10059.0,michael porter,4.0,31.8,19.3,5.5,3.5,0.8,0.0,3.0,0.477,0.5,1.3,2.684256951662193,91
10112.0,neemias queta,4.0,23.8,8.8,8.0,1.0,0.5,2.0,0.0,0.6,0.714,1.8,2.6806475572614517,92
10109.0,donte divincenzo,4.0,29.0,12.3,2.3,3.3,1.5,0.5,2.5,0.405,0.818,2.0,2.588136165935775,93
10054.0,myles turner,3.0,29.3,9.3,6.3,3.0,0.7,2.3,1.3,0.344,0.5,2.3,2.5014868323454498,94
10127.0,cason wallace,3.0,33.3,7.0,5.0,4.3,2.7,0.3,1.3,0.308,0.5,1.3,2.461481882701327,95
10083.0,brandon ingram,4.0,32.0,20.3,6.0,3.5,1.0,0.3,1.3,0.508,0.857,3.0,2.426558305586293,96
10213.0,taurean prince,3.0,24.7,7.3,2.3,2.0,1.7,0.3,2.0,0.533,,0.7,2.4197669151665426,97
10107.0,devin vassell,4.0,34.0,16.8,3.5,2.8,1.5,0.0,3.3,0.455,0.667,2.3,2.4014029999313347,98
10361.0,nique clifford,1.0,24.0,2.0,8.0,2.0,2.0,1.0,0.0,0.333,,1.0,2.390352650554775,99
10126.0,kevin porter,1.0,9.0,10.0,0.0,2.0,1.0,0.0,2.0,0.6,1.0,0.0,2.3748727702254637,100
10108.0,anfernee simons,4.0,28.5,15.0,3.0,1.5,1.3,0.3,2.8,0.469,0.75,1.5,2.37152041742485,101
10215.0,keldon johnson,4.0,24.3,12.0,6.5,1.0,0.8,0.0,1.3,0.643,0.778,0.3,2.3614321761013857,102
10073.0,john collins,3.0,26.0,13.3,6.3,1.3,1.7,0.7,0.7,0.64,0.75,2.7,2.343572919401983,103
10045.0,ja morant,4.0,27.3,22.3,2.8,6.5,0.8,0.0,0.5,0.411,0.964,2.0,2.3379307475373476,104
10053.0,ivica zubac,3.0,28.7,16.0,6.7,3.3,0.0,1.0,0.0,0.656,0.857,2.0,2.296735775070148,105
10088.0,naz reid,4.0,23.3,11.3,6.3,1.8,1.3,1.0,1.0,0.459,0.7,1.8,2.2961315188135822,106
10293.0,max christie,4.0,28.3,12.3,1.3,1.3,0.3,0.3,3.3,0.552,1.0,1.0,2.2842692320295743,107
10125.0,collin sexton,3.0,26.7,18.7,1.7,4.3,1.3,0.0,1.3,0.563,0.8,1.7,2.2691417600714057,108
10200.0,luke kornet,2.0,25.0,8.0,8.0,3.5,0.0,1.5,0.0,0.583,0.5,0.5,2.256979282099211,109
10085.0,toumani camara,4.0,32.8,9.5,5.5,3.5,1.0,0.3,1.3,0.378,0.833,0.8,2.2499911498869953,110
10062.0,mark williams,3.0,22.7,11.0,9.3,0.0,0.7,0.7,0.0,0.542,0.778,0.3,2.18500111399364,111
10232.0,derrick jones,3.0,21.0,11.0,2.3,1.0,0.7,1.0,2.0,0.813,0.5,1.0,2.110328070336926,112
10050.0,bam adebayo,3.0,33.7,19.3,10.0,3.0,0.7,0.0,2.0,0.362,0.947,3.7,2.085428912094113,113
10011.0,devin booker,4.0,36.3,28.5,4.0,6.8,0.3,0.3,2.3,0.507,0.805,5.0,2.0614286968833637,114
10300.0,john konchar,4.0,15.3,3.8,3.3,1.3,1.3,0.8,0.5,0.5,1.0,0.5,2.02925692992185,115
10159.0,sam hauser,4.0,25.0,10.8,3.0,0.8,0.5,0.5,3.3,0.424,1.0,1.5,2.026216187874157,116
10038.0,jaylen brown,4.0,33.0,26.0,5.8,3.8,0.3,0.3,2.8,0.5,0.742,4.0,2.0203155364581655,117
10167.0,pj washington,4.0,34.8,16.8,7.5,2.5,1.0,0.8,1.8,0.531,0.571,3.3,1.9916624794983167,118
10100.0,ausar thompson,4.0,27.3,14.3,6.5,3.5,1.0,0.5,0.3,0.522,0.571,1.0,1.9865595834373015,119
10269.0,jaime jaquez,3.0,28.0,15.7,7.0,4.0,1.3,0.0,0.0,0.71,0.6,2.0,1.9296539284762444,120
10223.0,moses moody,2.0,21.5,13.5,2.0,0.5,1.0,1.0,3.0,0.438,0.778,2.0,1.9072136064212084,121
10149.0,dylan harper,4.0,26.0,14.8,5.3,4.8,1.0,0.0,0.8,0.478,0.857,2.0,1.9000224661796166,122
10048.0,cooper flagg,4.0,31.5,13.0,5.3,2.5,1.0,0.5,1.0,0.38,1.0,2.0,1.8555251994216841,123
10263.0,terance mann,4.0,24.3,11.3,3.5,1.5,1.0,0.0,1.5,0.567,0.833,0.3,1.8445654288195068,124
10280.0,ryan kalkbrenner,3.0,25.0,9.3,7.7,1.0,0.3,1.0,0.0,0.875,,2.0,1.829432862253161,125
10331.0,ron holland,4.0,21.3,12.0,3.5,2.0,1.8,0.5,1.3,0.457,0.846,2.3,1.7887127480287153,126
10104.0,kelel ware,3.0,19.3,10.3,7.0,0.3,1.0,0.7,1.0,0.619,0.667,1.3,1.7812200962771076,127
10055.0,jarrett allen,4.0,27.5,13.5,7.3,2.0,1.5,0.3,0.0,0.576,0.727,1.8,1.767314514304437,128
10174.0,nikola jovic,3.0,25.0,11.7,4.7,3.0,0.7,0.3,2.0,0.455,0.9,2.0,1.7421129159176383,129
10069.0,rudy gobert,4.0,30.0,8.5,9.0,1.0,0.3,1.3,0.0,0.65,0.533,0.8,1.7407513416851594,130
10090.0,draymond green,4.0,27.8,10.0,5.5,8.0,0.5,0.8,2.0,0.519,0.444,3.5,1.7155295618075832,131
10186.0,aaron wiggins,4.0,27.5,13.3,4.5,1.5,0.0,0.3,2.3,0.444,1.0,1.0,1.6845318707725565,132
10130.0,brandin podziemski,4.0,30.3,12.3,4.8,2.3,1.3,0.0,2.3,0.436,0.6,1.0,1.6533864727520784,133
10132.0,ayo dosunmu,3.0,26.7,16.7,3.0,2.0,0.0,0.0,3.0,0.559,0.75,0.7,1.6413486989561425,134
10201.0,ziaire williams,3.0,18.3,10.3,2.0,0.3,1.3,0.0,2.3,0.5,0.8,0.0,1.6330974192717993,135
10321.0,steven adams,3.0,26.0,6.3,10.3,1.3,1.0,0.3,0.0,0.556,0.9,1.7,1.5821003963212177,136
10179.0,gary trent,3.0,27.3,14.3,2.0,2.7,1.3,0.0,3.3,0.417,0.5,1.0,1.5113500424429702,137
10309.0,clint capela,3.0,8.7,4.7,1.7,0.0,0.3,0.7,0.0,1.0,1.0,0.3,1.436316093612644,138
10016.0,domantas sabonis,2.0,33.5,11.0,13.0,2.0,1.5,0.0,0.5,0.588,0.333,2.0,1.4322276346833642,139
10046.0,desmond bane,4.0,32.8,19.0,4.8,3.0,0.3,0.5,1.5,0.475,0.923,2.8,1.4200918236628943,140
10195.0,wendell carter,4.0,31.5,9.3,9.8,1.5,1.3,0.8,0.5,0.333,0.68,2.0,1.3715606534532436,141
10243.0,peyton watson,3.0,20.0,7.0,2.0,1.0,0.7,1.0,0.7,0.7,1.0,1.7,1.3297138165739368,142
10117.0,obi toppin,3.0,27.3,14.0,6.7,1.7,1.0,0.0,1.0,0.417,1.0,2.0,1.316201211024819,143
10288.0,ben sheppard,3.0,31.7,10.0,6.3,3.0,0.7,0.3,1.3,0.393,0.667,0.7,1.3117006927815833,144
10272.0,julian champagnie,4.0,29.0,8.5,6.8,2.0,0.5,0.3,1.5,0.478,0.667,0.5,1.3057758426471737,145
10177.0,moussa diabate,3.0,20.3,10.3,7.0,0.3,0.7,1.3,0.0,0.611,0.563,1.0,1.3029082281441737,146
10123.0,davion mitchell,3.0,26.3,9.0,2.7,8.0,1.0,0.3,1.0,0.478,0.5,1.7,1.2686686748340754,147
10153.0,rui hachimura,4.0,36.0,16.5,3.8,1.5,0.5,0.3,1.8,0.634,0.7,1.5,1.2683646873797434,148
10194.0,reed sheppard,3.0,24.0,11.0,2.7,4.3,1.7,0.3,2.7,0.364,0.5,2.3,1.2558298619211832,149
10007.0,cade cunningham,4.0,35.0,20.3,5.5,7.8,0.3,0.8,1.8,0.361,0.786,5.5,1.2552707268566161,150
10238.0,aj green,3.0,28.0,13.3,2.0,1.0,0.3,0.0,3.3,0.65,0.8,1.3,1.246286070580542,151
10183.0,brice sensabaugh,3.0,18.7,12.7,3.3,1.3,0.7,0.0,2.0,0.483,1.0,1.3,1.2434062380405724,152
10307.0,nicolas batum,3.0,12.7,3.0,2.0,0.7,1.7,1.0,1.0,0.333,,0.0,1.2264757520943244,153
10207.0,walter clayton,3.0,20.7,8.7,4.7,3.3,1.0,0.0,1.3,0.455,1.0,2.0,1.212279046632855,154
10076.0,isaiah hartenstein,4.0,33.3,10.3,11.0,2.3,1.3,0.0,0.0,0.576,0.5,1.5,1.1888759836188187,155
10097.0,dereck lively,3.0,17.0,5.3,5.0,3.0,0.7,1.3,0.0,0.778,0.5,1.7,1.1844475464025532,156
10101.0,cam thomas,4.0,29.0,24.3,1.5,3.3,0.3,0.3,2.3,0.418,0.865,2.5,1.182256911576509,157
10417.0,dru smith,3.0,17.3,6.0,2.0,3.3,1.7,0.3,1.3,0.389,,1.0,1.1389726493067087,158
10075.0,jalen suggs,3.0,18.7,12.3,4.3,4.0,0.7,0.0,2.0,0.737,0.75,3.3,1.0936845062448002,159
10162.0,kentavious caldwell pope,4.0,25.8,9.8,3.3,4.5,0.8,0.3,1.5,0.313,0.929,1.8,1.0539487982677591,160
10066.0,christian braun,3.0,32.3,11.0,3.3,2.3,1.3,0.0,0.3,0.462,1.0,1.0,1.0411710271295238,161
10287.0,jarred vanderbilt,4.0,21.5,6.3,5.8,1.3,2.0,0.5,0.0,0.409,0.875,1.8,1.0112813522465443,162
