INDEX,PLAYER_NORM,G,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
10209.0,anthony black,2.0,22.0,7.5,0.462,0.4,0.5,3.0,2.5,0.5,0.5,2.0
10180.0,ryan dunn,2.0,21.0,7.5,0.5,0.0,0.5,7.5,1.5,0.5,1.5,0.5
10273.0,jordan hawkins,2.0,17.5,7.5,0.556,1.0,1.5,2.5,1.0,0.0,0.0,0.5
10121.0,taylor hendricks,2.0,17.5,7.5,0.556,0.75,1.0,4.5,0.5,0.5,0.5,1.0
10079.0,cj mccollum,2.0,31.5,7.5,0.273,0.667,0.5,4.0,4.0,0.5,0.0,1.0
10054.0,myles turner,2.0,28.5,7.5,0.3,0.5,1.0,6.5,3.5,0.5,2.5,2.0
10203.0,harrison barnes,2.0,32.5,7.0,0.417,1.0,1.0,1.5,3.0,0.5,1.0,1.0
10152.0,kris dunn,2.0,22.0,7.0,0.455,1.0,1.0,3.5,1.0,2.0,0.0,1.0
10414.0,pj hall,1.0,14.0,7.0,0.75,,1.0,3.0,0.0,0.0,1.0,0.0
10395.0,jock landale,2.0,21.5,7.0,0.4,0.833,0.5,4.5,0.0,0.0,1.5,1.5
10223.0,moses moody,1.0,21.0,7.0,0.167,0.667,1.0,2.0,0.0,1.0,0.0,2.0
10213.0,taurean prince,2.0,21.5,7.0,0.556,,2.0,2.0,2.5,1.0,0.0,0.5
10334.0,jamal shead,2.0,15.5,7.0,0.364,0.833,0.5,1.0,4.5,1.0,0.0,1.0
10166.0,luguentz dort,2.0,44.5,6.5,0.222,1.0,0.5,7.0,3.5,1.0,0.0,2.0
10099.0,keon ellis,2.0,15.0,6.5,0.625,0.5,1.0,2.0,0.5,2.0,0.0,1.0
10274.0,mouhamed gueye,2.0,17.5,6.5,0.556,0.333,1.0,4.0,1.5,0.0,1.0,1.5
10124.0,bobby portis,2.0,19.0,6.5,0.316,,0.5,7.0,0.5,0.0,0.0,0.5
10475.0,jaylon tyson,2.0,21.5,6.5,0.625,,1.5,3.0,1.0,1.5,1.0,1.5
10164.0,russell westbrook,2.0,18.0,6.5,0.385,0.667,0.5,3.5,2.5,0.5,0.5,2.0
10066.0,christian braun,1.0,38.0,6.0,0.429,,0.0,4.0,2.0,0.0,0.0,2.0
10272.0,julian champagnie,2.0,30.5,6.0,0.364,0.667,1.0,6.0,2.5,1.0,0.0,0.5
10069.0,rudy gobert,2.0,30.0,6.0,0.667,0.667,0.0,6.5,1.0,0.0,0.5,0.5
