INDEX,PLAYER_NORM,G,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,RANK_SCORE,RANK
10094.0,josh hart,3.0,24.7,3.7,7.7,4.0,1.0,0.0,0.3,0.222,0.5,1.7,-2.2422250804278168,294
10519.0,olivier maxence prosper,4.0,8.8,5.5,2.8,0.3,0.0,0.0,0.0,0.6,1.0,0.8,-2.252562487952278,295
10485.0,noah penda,2.0,9.5,3.5,2.0,0.5,0.0,0.0,0.5,0.75,,0.5,-2.260017188296426,296
10521.0,jalen pickett,3.0,5.3,3.3,0.7,1.0,0.0,0.0,0.3,0.571,1.0,0.3,-2.2885002769462064,297
,jd davison,1.0,7.0,3.0,0.0,1.0,1.0,0.0,1.0,0.333,,0.0,-2.319326333438185,298
,caleb love,2.0,9.5,5.0,2.5,2.5,0.0,0.0,1.0,0.286,,0.0,-2.351732818893355,299
10410.0,drake powell,1.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,,1.0,-2.366762885490764,300
10504.0,will riley,3.0,5.7,3.3,1.7,0.3,0.7,0.0,0.3,0.5,0.75,0.0,-2.3966690419466454,301
10425.0,cody williams,2.0,7.0,2.0,0.5,1.0,0.0,0.0,0.0,1.0,,1.0,-2.399048144350382,302
10199.0,ace bailey,4.0,15.8,4.0,2.5,1.5,0.0,0.3,0.5,0.25,1.0,0.5,-2.410308987812442,303
,nigel hayes davis,5.0,12.6,3.0,1.8,0.8,0.8,0.0,0.2,0.5,,0.4,-2.410683492186874,304
10399.0,julian phillips,3.0,7.3,3.0,0.7,0.3,0.7,0.3,0.3,0.444,,0.0,-2.4200448534141676,305
10345.0,aaron holiday,1.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.667,,0.0,-2.4804625473904163,306
10481.0,yanic konan niederhauser,3.0,4.3,3.3,1.0,0.7,0.0,0.0,0.0,1.0,0.5,0.0,-2.4870983658255437,307
10463.0,leonard miller,2.0,3.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,,0.5,-2.524747333200904,308
10276.0,amir coffey,4.0,9.5,2.5,0.5,0.5,0.0,0.0,0.3,0.6,1.0,0.3,-2.555740350771826,309
10271.0,gary payton,5.0,9.2,3.2,1.8,0.6,0.4,0.4,0.0,0.533,,0.6,-2.5786002449701373,310
10355.0,tony bradley,4.0,13.8,6.3,3.3,0.5,0.5,0.5,0.0,0.75,0.2,0.3,-2.629515757075046,311
10285.0,jonathan mogbo,5.0,5.4,1.2,1.4,0.4,0.2,0.4,0.0,0.6,,0.2,-2.6556112801880407,312
10273.0,jordan hawkins,4.0,14.5,4.3,2.5,1.0,0.0,0.0,0.8,0.263,1.0,0.3,-2.65746493482127,313
10405.0,devin carter,3.0,8.0,1.3,1.0,0.7,1.0,0.3,0.0,0.25,1.0,0.7,-2.69155057430385,314
10486.0,rayan rupert,3.0,6.3,1.0,1.7,0.7,0.7,0.0,0.3,0.5,,0.3,-2.7175824552932832,315
10383.0,jaden hardy,5.0,10.4,5.6,1.0,0.2,0.4,0.0,1.2,0.391,0.8,0.4,-2.7619282368073783,316
10284.0,corey kispert,4.0,21.0,7.8,2.8,1.5,0.3,0.3,1.5,0.48,0.25,0.5,-2.7737443198310983,317
10356.0,rob dillingham,3.0,9.7,4.0,0.3,2.3,0.7,0.0,0.0,0.6,,1.3,-2.797688519028739,318
10490.0,brandon williams,3.0,13.7,6.7,2.3,1.7,0.7,0.3,0.0,0.529,0.5,1.0,-2.8036653476092517,319
10165.0,marcus smart,3.0,24.7,7.7,1.0,2.0,1.0,0.0,0.3,0.438,0.8,2.0,-2.814913068155036,320
10543.0,deandre jordan,2.0,11.5,4.5,5.0,0.0,0.0,0.0,0.0,0.8,0.5,0.5,-2.815845301282371,321
10228.0,jordan clarkson,4.0,15.3,7.0,2.0,1.0,0.0,0.3,1.0,0.333,0.8,1.0,-3.0005470281659226,322
10308.0,noah clowney,5.0,21.0,5.2,3.6,1.6,0.2,0.0,0.8,0.25,0.889,1.2,-3.021525523717889,323
,keshad johnson,2.0,5.0,3.5,1.5,0.0,0.5,0.0,0.5,0.429,,0.0,-3.034369771863251,324
10236.0,jose alvarado,3.0,13.0,2.7,1.7,1.0,1.0,0.0,0.7,0.273,,0.7,-3.0544833919565475,325
10363.0,terrence shannon,5.0,18.0,4.4,3.0,1.4,0.8,0.0,0.8,0.333,0.667,1.2,-3.069829393268824,326
10364.0,james wiseman,1.0,20.0,4.0,4.0,0.0,0.0,1.0,0.0,0.667,,3.0,-3.161303472846133,327
10511.0,colby jones,1.0,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.333,,0.0,-3.1647252415428624,328
,tyler kolek,4.0,12.0,4.8,0.8,2.0,0.3,0.0,0.8,0.421,,1.0,-3.2028836789177686,329
10318.0,larry nance,5.0,15.2,5.4,4.0,1.4,0.4,0.2,0.8,0.458,0.333,0.6,-3.2215048650759472,330
10310.0,drew eubanks,5.0,13.2,1.8,3.0,0.2,0.8,1.4,0.0,0.25,0.375,0.6,-3.243123550372686,331
,dylan cardwell,2.0,13.5,1.5,2.0,0.0,1.0,1.5,0.0,0.2,0.5,1.0,-3.258698473930006,332
10296.0,ochai agbaji,5.0,14.6,3.4,1.6,0.8,0.8,0.0,0.2,0.375,0.667,0.2,-3.3520423497041834,333
10431.0,justin edwards,4.0,11.5,4.3,0.5,0.3,0.0,0.0,1.3,0.462,,0.5,-3.5217439772591614,334
10472.0,zeke nnaji,3.0,3.7,2.0,0.3,0.3,0.0,0.0,0.0,0.5,1.0,0.3,-3.5990155992704445,335
10282.0,trendon watford,1.0,18.0,2.0,4.0,3.0,0.0,0.0,0.0,0.333,,1.0,-3.66026971513994,336
,taelon peter,2.0,9.5,1.5,0.0,0.5,0.5,0.0,0.5,0.5,,0.5,-3.6904605062264526,337
